expr_name,tier,node_count,curve,frac,iteration,rules_allowed,applications,classes,nodes,cost,regret_pct
band0_depth2_s0,rapid,11,unguided,0.25,2,62,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,unguided,0.5,2,62,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,unguided,1,2,62,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,unguided,2,2,62,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,unguided,3,2,62,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,oracle,0.25,2,4,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,oracle,0.5,2,4,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,oracle,1,2,4,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,oracle,2,2,4,15,15,15,31,0.0000
band0_depth2_s0,rapid,11,oracle,3,2,4,15,15,15,31,0.0000
band0_depth2_s1,blitz,9,unguided,0.25,2,62,15,11,11,7,0.0000
band0_depth2_s1,blitz,9,unguided,0.5,2,62,15,11,11,7,0.0000
band0_depth2_s1,blitz,9,unguided,1,2,62,15,11,11,7,0.0000
band0_depth2_s1,blitz,9,unguided,2,2,62,15,11,11,7,0.0000
band0_depth2_s1,blitz,9,unguided,3,2,62,15,11,11,7,0.0000
band0_depth2_s1,blitz,9,oracle,0.25,2,4,13,11,11,7,0.0000
band0_depth2_s1,blitz,9,oracle,0.5,2,4,13,11,11,7,0.0000
band0_depth2_s1,blitz,9,oracle,1,2,4,13,11,11,7,0.0000
band0_depth2_s1,blitz,9,oracle,2,2,4,13,11,11,7,0.0000
band0_depth2_s1,blitz,9,oracle,3,2,4,13,11,11,7,0.0000
band0_depth2_s2,rapid,11,unguided,0.25,3,62,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,unguided,0.5,3,62,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,unguided,1,3,62,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,unguided,2,3,62,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,unguided,3,3,62,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,oracle,0.25,3,4,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,oracle,0.5,3,4,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,oracle,1,3,4,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,oracle,2,3,4,34,16,16,204,0.0000
band0_depth2_s2,rapid,11,oracle,3,3,4,34,16,16,204,0.0000
band0_depth2_s3,rapid,23,unguided,0.25,3,62,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,unguided,0.5,3,62,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,unguided,1,3,62,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,unguided,2,3,62,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,unguided,3,3,62,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,oracle,0.25,3,8,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,oracle,0.5,3,8,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,oracle,1,3,8,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,oracle,2,3,8,80,33,33,52,0.0000
band0_depth2_s3,rapid,23,oracle,3,3,8,80,33,33,52,0.0000
band0_depth2_s4,blitz,6,unguided,0.25,2,62,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,unguided,0.5,2,62,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,unguided,1,2,62,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,unguided,2,2,62,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,unguided,3,2,62,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,oracle,0.25,2,2,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,oracle,0.5,2,2,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,oracle,1,2,2,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,oracle,2,2,2,7,7,7,8,0.0000
band0_depth2_s4,blitz,6,oracle,3,2,2,7,7,7,8,0.0000
band0_depth2_s5,rapid,13,unguided,0.25,2,62,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,unguided,0.5,2,62,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,unguided,1,2,62,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,unguided,2,2,62,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,unguided,3,2,62,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,oracle,0.25,2,5,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,oracle,0.5,2,5,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,oracle,1,2,5,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,oracle,2,2,5,18,17,17,115,0.0000
band0_depth2_s5,rapid,13,oracle,3,2,5,18,17,17,115,0.0000
band0_depth2_s6,rapid,12,unguided,0.25,3,62,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,unguided,0.5,3,62,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,unguided,1,3,62,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,unguided,2,3,62,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,unguided,3,3,62,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,oracle,0.25,3,6,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,oracle,0.5,3,6,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,oracle,1,3,6,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,oracle,2,3,6,52,24,24,209,0.0000
band0_depth2_s6,rapid,12,oracle,3,3,6,52,24,24,209,0.0000
