table,set,B,n,metric,value
ladder,"DEV classical, band 101-1000",100,208,ung_regret_med,104.344657
ladder,"DEV classical, band 101-1000",100,208,ctl_q1,0.002971
ladder,"DEV classical, band 101-1000",100,208,ctl_med,0.551913
ladder,"DEV classical, band 101-1000",100,208,ctl_q3,0.691286
ladder,"DEV classical, band 101-1000",100,208,ctl_regret,2.339499
ladder,"DEV classical, band 101-1000",100,208,strict_q1,0.002744
ladder,"DEV classical, band 101-1000",100,208,strict_med,0.512437
ladder,"DEV classical, band 101-1000",100,208,strict_q3,0.659462
ladder,"DEV classical, band 101-1000",100,208,strict_regret,1.118129
ladder,"DEV classical, band 101-1000",100,208,r2g_q1,0.002921
ladder,"DEV classical, band 101-1000",100,208,r2g_med,0.520710
ladder,"DEV classical, band 101-1000",100,208,r2g_q3,0.669714
ladder,"DEV classical, band 101-1000",100,208,r2g_regret,1.425235
ladder,"DEV classical, band 101-1000",200,208,ung_regret_med,80.394268
ladder,"DEV classical, band 101-1000",200,208,ctl_q1,0.014641
ladder,"DEV classical, band 101-1000",200,208,ctl_med,0.602698
ladder,"DEV classical, band 101-1000",200,208,ctl_q3,0.709065
ladder,"DEV classical, band 101-1000",200,208,ctl_regret,0.600904
ladder,"DEV classical, band 101-1000",200,208,strict_q1,0.006215
ladder,"DEV classical, band 101-1000",200,208,strict_med,0.589296
ladder,"DEV classical, band 101-1000",200,208,strict_q3,0.705629
ladder,"DEV classical, band 101-1000",200,208,strict_regret,0.155555
ladder,"DEV classical, band 101-1000",200,208,r2g_q1,0.098253
ladder,"DEV classical, band 101-1000",200,208,r2g_med,0.600434
ladder,"DEV classical, band 101-1000",200,208,r2g_q3,0.718970
ladder,"DEV classical, band 101-1000",200,208,r2g_regret,0.400275
ladder,"sh (OOD, all 95)",100,95,ung_regret_med,20.484754
ladder,"sh (OOD, all 95)",100,95,ctl_q1,0.891745
ladder,"sh (OOD, all 95)",100,95,ctl_med,0.902790
ladder,"sh (OOD, all 95)",100,95,ctl_q3,0.921240
ladder,"sh (OOD, all 95)",100,95,ctl_regret,7.923628
ladder,"sh (OOD, all 95)",100,95,strict_q1,0.891745
ladder,"sh (OOD, all 95)",100,95,strict_med,0.903897
ladder,"sh (OOD, all 95)",100,95,strict_q3,0.918143
ladder,"sh (OOD, all 95)",100,95,strict_regret,7.971360
ladder,"sh (OOD, all 95)",100,95,r2g_q1,0.890462
ladder,"sh (OOD, all 95)",100,95,r2g_med,0.900486
ladder,"sh (OOD, all 95)",100,95,r2g_q3,0.920214
ladder,"sh (OOD, all 95)",100,95,r2g_regret,8.043118
ladder,"sh (OOD, all 95)",200,95,ung_regret_med,20.328382
ladder,"sh (OOD, all 95)",200,95,ctl_q1,0.879487
ladder,"sh (OOD, all 95)",200,95,ctl_med,0.893988
ladder,"sh (OOD, all 95)",200,95,ctl_q3,0.914372
ladder,"sh (OOD, all 95)",200,95,ctl_regret,6.702057
ladder,"sh (OOD, all 95)",200,95,strict_q1,0.882027
ladder,"sh (OOD, all 95)",200,95,strict_med,0.895916
ladder,"sh (OOD, all 95)",200,95,strict_q3,0.916110
ladder,"sh (OOD, all 95)",200,95,strict_regret,6.796556
ladder,"sh (OOD, all 95)",200,95,r2g_q1,0.882716
ladder,"sh (OOD, all 95)",200,95,r2g_med,0.896509
ladder,"sh (OOD, all 95)",200,95,r2g_q3,0.917611
ladder,"sh (OOD, all 95)",200,95,r2g_regret,6.702057
ladder,"bezier (OOD, all 80)",100,80,ung_regret_med,29.553265
ladder,"bezier (OOD, all 80)",100,80,ctl_q1,0.909814
ladder,"bezier (OOD, all 80)",100,80,ctl_med,0.909814
ladder,"bezier (OOD, all 80)",100,80,ctl_q3,0.948588
ladder,"bezier (OOD, all 80)",100,80,ctl_regret,17.869416
ladder,"bezier (OOD, all 80)",100,80,strict_q1,0.909814
ladder,"bezier (OOD, all 80)",100,80,strict_med,0.909814
ladder,"bezier (OOD, all 80)",100,80,strict_q3,0.948588
ladder,"bezier (OOD, all 80)",100,80,strict_regret,17.869416
ladder,"bezier (OOD, all 80)",100,80,r2g_q1,0.843049
ladder,"bezier (OOD, all 80)",100,80,r2g_med,0.856764
ladder,"bezier (OOD, all 80)",100,80,r2g_q3,0.891610
ladder,"bezier (OOD, all 80)",100,80,r2g_regret,10.996564
ladder,"bezier (OOD, all 80)",200,80,ung_regret_med,29.553265
ladder,"bezier (OOD, all 80)",200,80,ctl_q1,0.909814
ladder,"bezier (OOD, all 80)",200,80,ctl_med,0.909814
ladder,"bezier (OOD, all 80)",200,80,ctl_q3,0.980176
ladder,"bezier (OOD, all 80)",200,80,ctl_regret,17.869416
ladder,"bezier (OOD, all 80)",200,80,strict_q1,0.856764
ladder,"bezier (OOD, all 80)",200,80,strict_med,0.885463
ladder,"bezier (OOD, all 80)",200,80,strict_q3,0.926009
ladder,"bezier (OOD, all 80)",200,80,strict_regret,10.996564
ladder,"bezier (OOD, all 80)",200,80,r2g_q1,0.856764
ladder,"bezier (OOD, all 80)",200,80,r2g_med,0.856764
ladder,"bezier (OOD, all 80)",200,80,r2g_q3,0.914097
ladder,"bezier (OOD, all 80)",200,80,r2g_regret,10.996564
