set,B,n,arm,ratio_q1,ratio_median,ratio_q3,ratio_p90,improved,unchanged,worse,regret_median_pct,gap_vs_4b_median_pct,reference_median_pr1091,registered_claim,claim_holds,r2g_vs_linear_lower,r2g_vs_linear_equal,r2g_vs_linear_higher,M_B,within_margin_of_linear
dev,100,334,control,0.0072,0.5655,0.7005,0.8409,321,4,9,0.642,0.000,0.5655,,,,,,0.06,
dev,100,334,linear,0.0041,0.5366,0.6809,0.7971,323,4,7,0.385,0.000,0.5366,,,,,,0.06,
dev,100,334,r2g,0.0045,0.5493,0.7359,0.8416,324,4,6,1.713,0.000,,m_r2g <= 0.5966,True,25,102,207,0.06,True
dev,200,334,control,0.5222,0.6991,1.0000,1.0000,245,71,18,0.200,0.000,0.6991,,,,,,0.07,
dev,200,334,linear,0.5115,0.6959,1.0000,1.0000,245,71,18,0.078,0.000,0.6959,,,,,,0.07,
dev,200,334,r2g,0.5252,0.7137,1.0000,1.0000,244,71,19,0.337,0.000,,m_r2g <= 0.7659,True,10,183,141,0.07,True
sh,100,95,control,0.8917,0.9028,0.9212,0.9653,95,0,0,7.924,-7.881,0.9028,,,,,,0.06,
sh,100,95,linear,0.8917,0.9039,0.9181,0.9390,95,0,0,7.971,-7.916,0.9039,,,,,,0.06,
sh,100,95,r2g,0.8904,0.9084,0.9276,0.9453,95,0,0,8.235,-7.216,,m_r2g < 0.8439,False,21,1,73,0.06,True
sh,200,95,control,0.8795,0.8940,0.9144,0.9370,95,0,0,6.702,-6.449,0.8940,,,,,,0.07,
sh,200,95,linear,0.8820,0.8959,0.9161,0.9378,95,0,0,6.797,-5.856,0.8959,,,,,,0.07,
sh,200,95,r2g,0.8867,0.9017,0.9197,0.9372,95,0,0,7.723,-5.749,,m_r2g < 0.8259,False,5,15,75,0.07,True
bezier,100,80,control,0.9098,0.9098,0.9486,0.9961,80,0,0,17.869,-2.643,0.9098,,,,,,0.06,
bezier,100,80,linear,0.9098,0.9098,0.9486,0.9961,80,0,0,17.869,-3.922,0.9098,,,,,,0.06,
bezier,100,80,r2g,0.8568,0.8568,0.9284,0.9961,80,0,0,10.997,-9.524,,,,60,20,0,0.06,True
bezier,200,80,control,0.9098,0.9098,0.9802,1.0000,60,20,0,17.869,0.000,0.9098,,,,,,0.07,
bezier,200,80,linear,0.8568,0.8855,0.9260,1.0000,60,20,0,10.997,0.000,0.8855,,,,,,0.07,
bezier,200,80,r2g,0.8568,0.8568,0.9141,1.0000,60,20,0,10.997,0.000,,,,19,61,0,0.07,True
