set,stratum,B,n,arm,ratio_q1,ratio_median,ratio_q3,improved,unchanged,worse,regret_median_pct,unguided_regret_at_b_pct,unguided_regret_at_4b_pct,structural_share,strict_precision,unguided_structural_share,D,D_control_minus_D_linear,M_B,verdict
dev,all,100,334,control,0.0072,0.5655,0.7005,321,4,9,0.642,96.171,1.1,0.2788,0.2248,0.5893,-0.0,-0.0,0.06,H_null
dev,all,100,334,linear,0.0041,0.5366,0.6809,323,4,7,0.379,96.171,1.1,0.3216,0.2237,0.5893,-0.0,-0.0,0.06,H_null
dev,all,200,334,control,0.5222,0.6991,1.0,245,71,18,0.2,51.454,0.0,0.4032,0.1422,0.5964,0.0,0.0001,0.07,H_null
dev,all,200,334,linear,0.5115,0.6959,1.0,245,71,18,0.078,51.454,0.0,0.4301,0.146,0.5964,-0.0,0.0001,0.07,H_null
dev,transcendental-heavy,100,47,control,0.3627,0.5089,0.6401,44,2,1,0.0,98.031,0.0,0.3644,0.1024,0.5082,-0.0566,-0.0398,0.06,H_null
dev,transcendental-heavy,100,47,linear,0.3766,0.5197,0.6685,44,2,1,0.0,98.031,0.0,0.4092,0.1026,0.5082,-0.0169,-0.0398,0.06,H_null
dev,transcendental-heavy,200,47,control,0.8351,1.0,1.0,23,23,1,0.0,1.321,0.0,0.4754,0.076,0.5197,0.3009,-0.0032,0.07,H_null
dev,transcendental-heavy,200,47,linear,0.8351,1.0,1.0,23,23,1,0.0,1.321,0.0,0.4827,0.0756,0.5197,0.3041,-0.0032,0.07,H_null
dev,trig-heavy,100,287,control,0.0048,0.5701,0.703,277,2,8,0.885,95.207,4.46,0.2658,0.2434,0.6007,0.0046,0.0013,0.06,H_null
dev,trig-heavy,100,287,linear,0.0035,0.5399,0.682,279,2,6,0.445,95.207,4.46,0.3082,0.2423,0.6007,0.0033,0.0013,0.06,H_null
dev,trig-heavy,200,287,control,0.4763,0.6724,0.9986,222,48,17,0.274,57.726,0.0,0.3946,0.1501,0.6079,-0.0267,0.0038,0.07,H_null
dev,trig-heavy,200,287,linear,0.396,0.6654,0.9981,222,48,17,0.107,57.726,0.0,0.4239,0.1543,0.6079,-0.0305,0.0038,0.07,H_null
sh,all,100,95,control,0.8917,0.9028,0.9212,95,0,0,7.924,20.485,17.365,0.7434,0.1541,0.906,0.3373,-0.03,0.06,H_null
sh,all,100,95,linear,0.8917,0.9039,0.9181,95,0,0,7.971,20.485,17.365,0.7637,0.1466,0.906,0.3673,-0.03,0.06,H_null
sh,all,200,95,control,0.8795,0.894,0.9144,95,0,0,6.702,20.328,15.746,0.7803,0.102,0.913,0.1949,-0.0051,0.07,H_null
sh,all,200,95,linear,0.882,0.8959,0.9161,95,0,0,6.797,20.328,15.746,0.7912,0.0991,0.913,0.2,-0.0051,0.07,H_null
sh,trig-heavy,100,95,control,0.8917,0.9028,0.9212,95,0,0,7.924,20.485,17.365,0.7434,0.1541,0.906,0.3373,-0.03,0.06,H_null
sh,trig-heavy,100,95,linear,0.8917,0.9039,0.9181,95,0,0,7.971,20.485,17.365,0.7637,0.1466,0.906,0.3673,-0.03,0.06,H_null
sh,trig-heavy,200,95,control,0.8795,0.894,0.9144,95,0,0,6.702,20.328,15.746,0.7803,0.102,0.913,0.1949,-0.0051,0.07,H_null
sh,trig-heavy,200,95,linear,0.882,0.8959,0.9161,95,0,0,6.797,20.328,15.746,0.7912,0.0991,0.913,0.2,-0.0051,0.07,H_null
bezier,all,100,80,control,0.9098,0.9098,0.9486,80,0,0,17.869,29.553,22.68,0.7495,0.0815,0.7084,0.3443,-0.0289,0.06,H_null
bezier,all,100,80,linear,0.9098,0.9098,0.9486,80,0,0,17.869,29.553,22.68,0.7595,0.0934,0.7084,0.3732,-0.0289,0.06,H_null
bezier,all,200,80,control,0.9098,0.9098,0.9802,60,20,0,17.869,29.553,4.124,0.8259,0.0491,0.7678,0.2107,0.0212,0.07,H_null
bezier,all,200,80,linear,0.8568,0.8855,0.926,60,20,0,10.997,29.553,4.124,0.8217,0.0467,0.7678,0.1896,0.0212,0.07,H_null
bezier,polynomial-only,100,80,control,0.9098,0.9098,0.9486,80,0,0,17.869,29.553,22.68,0.7495,0.0815,0.7084,0.3443,-0.0289,0.06,H_null
bezier,polynomial-only,100,80,linear,0.9098,0.9098,0.9486,80,0,0,17.869,29.553,22.68,0.7595,0.0934,0.7084,0.3732,-0.0289,0.06,H_null
bezier,polynomial-only,200,80,control,0.9098,0.9098,0.9802,60,20,0,17.869,29.553,4.124,0.8259,0.0491,0.7678,0.2107,0.0212,0.07,H_null
bezier,polynomial-only,200,80,linear,0.8568,0.8855,0.926,60,20,0,10.997,29.553,4.124,0.8217,0.0467,0.7678,0.1896,0.0212,0.07,H_null
