name,group,nodes,tier,stop,machine_dependent,iters,max_iters,classes,max_classes,apps,unions,journal_unions,elapsed_ms,cost,dp_cost,ext_nodes,ref_stop,ref_iters,ref_classes,ref_apps,ref_elapsed_ms,ref_cost,loss_vs_ref_pct,lifted_stop,lifted_iters,lifted_classes,lifted_apps,lifted_elapsed_ms,lifted_cost,loss_vs_lifted_pct,cap_lift_changed,anomaly
cellgrid:120x40_d2,cellgrid,623,classical,ClassCap,false,7,100,4768,5000,13286,3537,3554,66.9,432,6235,120,ClassCap,7,4768,13286,65.9,432,0.00,ClassCap,7,18841,51870,232.0,432,0.00,true,-
cellgrid:80x24_d1,cellgrid,623,classical,ClassCap,false,7,100,4768,5000,13283,3538,3555,65.8,427,6235,117,ClassCap,7,4768,13283,65.6,427,0.00,ClassCap,7,18842,51876,230.6,427,0.00,true,-
cellgrid:80x24_d2,cellgrid,623,classical,ClassCap,false,7,100,4768,5000,13286,3537,3554,65.3,432,6235,120,ClassCap,7,4768,13286,65.3,432,0.00,ClassCap,7,18841,51870,235.1,432,0.00,true,-
glyph16:U+0020,glyph16,1,blitz,Quiesced,false,1,20,1,500,0,0,0,0.0,0,0,1,Quiesced,1,1,0,0.0,0,NA,Quiesced,1,1,0,0.0,0,NA,false,-
glyph16:U+0021,glyph16,1927,classical,ClassCap,false,8,100,4844,5000,16081,3446,3481,114.2,3063,1015294,718,ClassCap,8,4844,16081,114.6,3063,0.00,ClassCap,8,19614,86675,16573.0,3071,-0.26,true,more saturation extracted WORSE: cost prod=3063 ref=3063 lifted=3071
glyph16:U+0022,glyph16,199,classical,Timeout,true,5,100,3609,5000,18218,2980,2994,209.7,290,481,82,ClassCap,9,4179,44284,1674.4,214,35.51,ClassCap,11,16533,162274,19588.0,214,35.51,true,-
glyph16:U+0023,glyph16,615,classical,Timeout,true,4,100,4553,5000,13623,3778,3788,200.3,965,8001121,253,ClassCap,9,4620,32040,913.5,739,30.58,ClassCap,9,16455,163549,50636.2,749,28.84,true,more saturation extracted WORSE: cost prod=965 ref=739 lifted=749
glyph16:U+0024,glyph16,7185,classical,ClassCap,false,4,100,5000,5000,1962,1761,1761,51.3,13115,119985,2982,ClassCap,4,5000,1962,51.2,13115,0.00,ClassCap,8,19708,46700,552.9,11957,9.68,true,-
glyph16:U+0025,glyph16,7327,classical,ClassCap,false,4,100,5000,5000,2081,1830,1833,50.8,12619,121960,2793,ClassCap,4,5000,2081,51.8,12619,0.00,ClassCap,8,19758,51204,1159.4,11277,11.90,true,-
glyph16:U+0026,glyph16,9420,classical,ClassCap,false,2,100,5000,5000,698,692,692,28.3,17979,288778,4021,ClassCap,2,5000,698,28.8,17979,0.00,ClassCap,6,19839,32598,317.7,15625,15.07,true,-
glyph16:U+0027,glyph16,127,classical,Timeout,true,6,100,4133,5000,22050,3475,3485,383.0,137,1000182,53,ClassCap,9,4376,38714,2228.6,133,3.01,ClassCap,11,17976,126960,22032.5,133,3.01,true,-
glyph16:U+0028,glyph16,1855,classical,ClassCap,false,5,100,4870,5000,10896,3445,3480,68.9,3051,9012581,716,ClassCap,5,4870,10896,68.8,3051,0.00,ClassCap,7,19658,80050,11736.1,3684,-17.18,true,more saturation extracted WORSE: cost prod=3051 ref=3051 lifted=3684
glyph16:U+0029,glyph16,1855,classical,ClassCap,false,5,100,4870,5000,10902,3446,3481,70.0,3051,9012581,718,ClassCap,5,4870,10902,69.6,3051,0.00,ClassCap,7,19658,78934,10268.0,3649,-16.39,true,more saturation extracted WORSE: cost prod=3051 ref=3051 lifted=3649
glyph16:U+002A,glyph16,559,classical,Timeout,true,5,100,4839,5000,15357,3835,3839,279.6,1003,1536,282,ClassCap,8,4873,20703,728.5,931,7.73,ClassCap,9,17798,137878,45298.7,737,36.09,true,-
glyph16:U+002B,glyph16,247,classical,ClassCap,false,7,100,2078,5000,27850,1827,1835,74.0,319,3000416,97,ClassCap,7,2078,27850,74.4,319,0.00,Quiesced,12,2346,60676,150.2,319,0.00,true,-
glyph16:U+002C,glyph16,1694,classical,ClassCap,false,7,100,4912,5000,12649,3500,3531,169.8,2770,64009751,654,ClassCap,7,4912,12649,127.4,2770,0.00,ClassCap,7,19670,80180,12449.9,3437,-19.41,true,more saturation extracted WORSE: cost prod=2770 ref=2770 lifted=3437
glyph16:U+002D,glyph16,119,classical,Quiesced,false,7,100,1035,5000,15080,910,918,34.7,133,232,50,Quiesced,7,1035,15080,34.7,133,0.00,Quiesced,7,1035,15080,34.7,133,0.00,false,-
glyph16:U+002E,glyph16,1855,classical,ClassCap,false,5,100,4912,5000,10563,3511,3546,82.0,2877,100011159,659,ClassCap,5,4912,10563,82.9,2877,0.00,ClassCap,8,19660,82394,10661.2,3088,-6.83,true,more saturation extracted WORSE: cost prod=2877 ref=2877 lifted=3088
glyph16:U+002F,glyph16,127,classical,Timeout,true,5,100,3294,5000,17350,2822,2847,200.4,166,1000194,53,ClassCap,8,3889,40727,1400.0,134,23.88,ClassCap,11,14884,193275,57246.8,128,29.69,true,-
