tier,budget,band,n_expr,zero_spread_all_share,zero_spread_guided_share,qualifies,spread_q1,spread_median,spread_q3,unguided_eligible,unguided_differs_share,stop_hist
bezier,100,101-250,19,0.0000,0.0000,true,0.1707,0.1707,0.1707,19,1.0000,"ApplicationBudget:228"
bezier,100,51-100,61,0.3279,1.0000,false,0.0000,0.1001,0.1001,61,0.6721,"ApplicationBudget:732"
bezier,100,all,80,0.2500,0.7625,false,0.0751,0.1001,0.1216,80,0.7500,"ApplicationBudget:960"
bezier,200,101-250,19,0.0000,0.0000,true,0.2634,0.2634,0.2634,19,1.0000,"ApplicationBudget:228"
bezier,200,51-100,61,0.3279,0.5738,false,0.0000,0.1216,0.2537,61,0.6721,"ApplicationBudget:732"
bezier,200,all,80,0.2500,0.4375,true,0.0912,0.2537,0.2537,80,0.7500,"ApplicationBudget:960"
bezier,400,101-250,19,0.0000,0.0000,true,0.3627,0.3627,0.3627,19,1.0000,"ApplicationBudget:228"
bezier,400,51-100,61,0.3279,0.3279,true,0.0000,0.2830,0.2830,61,0.6721,"ApplicationBudget:732"
bezier,400,all,80,0.2500,0.2500,true,0.2123,0.2830,0.2833,80,0.7500,"ApplicationBudget:960"
bezier,800,101-250,19,0.0000,0.0000,true,0.3627,0.3627,0.3627,19,1.0000,"ApplicationBudget:228"
bezier,800,51-100,61,0.3279,0.3279,true,0.0000,0.2729,0.4353,61,0.6721,"ApplicationBudget:512|Quiesced:220"
bezier,800,all,80,0.2500,0.2500,true,0.2047,0.3627,0.4353,80,0.7500,"ApplicationBudget:740|Quiesced:220"
bezier,1600,101-250,19,0.0000,0.0000,true,0.4671,0.4671,0.4671,19,1.0000,"ApplicationBudget:228"
bezier,1600,51-100,61,0.3279,0.3279,true,0.0000,0.3980,0.5645,61,0.6721,"ApplicationBudget:512|Quiesced:220"
bezier,1600,all,80,0.2500,0.2500,true,0.2985,0.4671,0.5645,80,0.7500,"ApplicationBudget:740|Quiesced:220"
bezier,3200,101-250,19,0.0000,0.0000,true,0.5661,0.5661,0.5661,19,1.0000,"ApplicationBudget:228"
bezier,3200,51-100,61,0.3279,0.3279,true,0.0000,0.4993,0.6574,61,0.6721,"ApplicationBudget:512|Quiesced:220"
bezier,3200,all,80,0.2500,0.2500,true,0.3745,0.5661,0.6574,80,0.7500,"ApplicationBudget:740|Quiesced:220"
dev,100,101-250,116,0.0259,0.0776,true,0.0034,0.0084,0.2146,116,0.9741,"ApplicationBudget:1392"
dev,100,251-1000,92,0.0000,0.0000,true,0.3738,0.5575,5.1741,92,1.0000,"ApplicationBudget:1104"
dev,100,51-100,126,0.4206,0.6508,false,0.0000,0.0028,0.0136,126,0.5794,"ApplicationBudget:984|Quiesced:528"
dev,100,all,783,0.6003,0.6794,false,0.0000,0.0000,0.0115,783,0.3997,"ApplicationBudget:3850|Quiesced:5546"
dev,200,101-250,116,0.2414,0.4224,true,0.0000,0.0068,0.2191,116,0.7586,"ApplicationBudget:1028|Quiesced:364"
dev,200,251-1000,92,0.0000,0.0000,true,0.3769,0.5622,5.0196,92,1.0000,"ApplicationBudget:1104"
dev,200,51-100,126,0.6508,0.8968,false,0.0000,0.0000,0.0032,126,0.3492,"ApplicationBudget:393|Quiesced:1119"
dev,200,all,783,0.6782,0.7714,false,0.0000,0.0000,0.0061,783,0.3218,"ApplicationBudget:2712|Quiesced:6684"
dev,400,101-250,116,0.3707,0.8534,false,0.0000,0.0016,0.0727,116,0.6293,"ApplicationBudget:537|Quiesced:855"
dev,400,251-1000,92,0.0000,0.2174,true,0.3610,0.4953,4.8912,92,1.0000,"ApplicationBudget:1019|Quiesced:85"
dev,400,51-100,126,0.7302,0.9206,false,0.0000,0.0000,0.0019,126,0.2698,"ApplicationBudget:222|Quiesced:1290"
dev,400,all,783,0.7139,0.8646,false,0.0000,0.0000,0.0022,783,0.2861,"ApplicationBudget:1855|Quiesced:7541"
dev,800,101-250,116,0.5086,0.8621,false,0.0000,0.0000,0.0031,116,0.4828,"ApplicationBudget:283|Quiesced:1109"
dev,800,251-1000,92,0.0652,0.5761,false,0.0041,0.1869,0.6339,92,0.9348,"ApplicationBudget:679|Quiesced:425"
dev,800,51-100,126,0.7063,0.9286,false,0.0000,0.0000,0.0021,126,0.2937,"ApplicationBudget:126|Quiesced:1386"
dev,800,all,783,0.7356,0.9093,false,0.0000,0.0000,0.0006,783,0.2631,"ApplicationBudget:1129|Quiesced:8267"
dev,1600,101-250,116,0.5259,0.8707,false,0.0000,0.0000,0.0019,116,0.4741,"ApplicationBudget:146|Quiesced:1246"
dev,1600,251-1000,92,0.1957,0.7500,false,0.0005,0.0016,0.0688,92,0.8043,"ApplicationBudget:376|Quiesced:728"
dev,1600,51-100,126,0.7063,0.9206,false,0.0000,0.0000,0.0022,126,0.2937,"ApplicationBudget:85|Quiesced:1427"
dev,1600,all,783,0.7535,0.9298,false,0.0000,0.0000,0.0000,783,0.2465,"ApplicationBudget:644|Quiesced:8752"
dev,3200,101-250,116,0.5431,0.8707,false,0.0000,0.0000,0.0019,116,0.4569,"ApplicationBudget:88|Quiesced:1304"
dev,3200,251-1000,92,0.2391,0.7500,false,0.0000,0.0009,0.0125,92,0.7609,"ApplicationBudget:284|Quiesced:820"
dev,3200,51-100,126,0.6984,0.9206,false,0.0000,0.0000,0.0023,126,0.3016,"ApplicationBudget:52|Quiesced:1460"
dev,3200,all,783,0.7599,0.9298,false,0.0000,0.0000,0.0000,783,0.2401,"ApplicationBudget:453|Quiesced:8943"
sh,100,101-250,46,0.0000,0.0217,true,0.0622,0.0906,0.1118,46,1.0000,"ApplicationBudget:552"
sh,100,51-100,49,0.0000,0.0000,true,0.0070,0.0163,0.1039,49,1.0000,"ApplicationBudget:588"
sh,100,all,100,0.0000,0.0300,true,0.0127,0.0731,0.1096,100,1.0000,"ApplicationBudget:1189|Quiesced:11"
sh,200,101-250,46,0.0000,0.0000,true,0.0705,0.1055,0.1277,46,1.0000,"ApplicationBudget:552"
