rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,25,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,50,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,100,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,200,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,400,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,800,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,1600,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,3200,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,6400,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,12800,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,25600,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,51200,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,102400,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b00_f04_00057,train,blitz,4,204800,4,2,1233,2,144,quiesced,4
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,25,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,50,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,100,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,200,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,400,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,800,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,1600,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,3200,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,6400,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,12800,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,25600,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,51200,7,2,1455,3,10,quiesced,7
dup:124:interleave:1,124,6333431113f09bde,train_b17_f05_01417,train,blitz,5,102400,7,2,1455,3,10,quiesced,7
