set,name,node_count,budget,unguided_dag_cost,control_dag_cost,linear_dag_cost,bilinear_dag_cost,control_ratio,linear_ratio,bilinear_ratio,best_any_arm
dev,dev_b09_f01_00249,51,100,691,691,691,691,1.000000,1.000000,1.000000,691
dev,dev_b09_f01_00249,51,200,691,691,691,691,1.000000,1.000000,1.000000,691
dev,dev_b09_f03_00268,51,100,791,596,590,590,0.753477,0.745891,0.745891,590
dev,dev_b09_f03_00268,51,200,594,590,590,590,0.993266,0.993266,0.993266,590
dev,dev_b22_f06_00541,51,100,1145,779,750,975,0.680349,0.655022,0.851528,750
dev,dev_b22_f06_00541,51,200,1145,750,975,974,0.655022,0.851528,0.850655,750
dev,dev_b22_f06_00545,51,100,1014,644,644,644,0.635108,0.635108,0.635108,644
dev,dev_b22_f06_00545,51,200,644,644,644,644,1.000000,1.000000,1.000000,644
dev,dev_b16_f07_00437,52,100,1056,482,484,484,0.456439,0.458333,0.458333,476
dev,dev_b16_f07_00437,52,200,498,476,476,476,0.955823,0.955823,0.955823,476
dev,dev_b27_f03_00613,52,100,1086,727,727,727,0.669429,0.669429,0.669429,727
dev,dev_b27_f03_00613,52,200,727,727,727,727,1.000000,1.000000,1.000000,727
dev,dev_b09_f07_00327,53,100,1303,364,367,377,0.279355,0.281658,0.289332,355
dev,dev_b09_f07_00327,53,200,382,355,360,355,0.929319,0.942408,0.929319,355
dev,dev_b16_f06_00421,53,100,1083,728,722,722,0.672207,0.666667,0.666667,718
dev,dev_b16_f06_00421,53,200,722,722,718,722,1.000000,0.994460,1.000000,718
dev,dev_b16_f02_00371,54,100,998,998,998,998,1.000000,1.000000,1.000000,998
dev,dev_b16_f02_00371,54,200,998,998,998,998,1.000000,1.000000,1.000000,998
dev,dev_b16_f05_00415,54,100,649,464,458,458,0.714946,0.705701,0.705701,458
dev,dev_b16_f05_00415,54,200,641,458,458,458,0.714509,0.714509,0.714509,458
dev,dev_b09_f04_00292,55,100,1563,1384,1388,1388,0.885477,0.888036,0.888036,1384
dev,dev_b09_f04_00292,55,200,1384,1384,1388,1388,1.000000,1.002890,1.002890,1384
dev,dev_b09_f05_00298,55,100,1422,507,507,517,0.356540,0.356540,0.363572,507
dev,dev_b09_f05_00298,55,200,507,507,507,507,1.000000,1.000000,1.000000,507
dev,dev_b16_f03_00380,55,100,758,579,579,579,0.763852,0.763852,0.763852,579
dev,dev_b16_f03_00380,55,200,579,579,579,579,1.000000,1.000000,1.000000,579
dev,dev_b06_f04_00171,56,100,1790,495,499,515,0.276536,0.278771,0.287709,490
dev,dev_b06_f04_00171,56,200,490,490,490,490,1.000000,1.000000,1.000000,490
dev,dev_b16_f00_00338,56,100,1173,609,606,606,0.519182,0.516624,0.516624,606
dev,dev_b16_f00_00338,56,200,1154,609,606,606,0.527730,0.525130,0.525130,606
dev,dev_b16_f02_00366,56,100,863,867,864,880,1.004635,1.001159,1.019699,860
dev,dev_b16_f02_00366,56,200,860,860,860,864,1.000000,1.000000,1.004651,860
dev,dev_b22_f04_00513,56,100,1539,799,799,799,0.519168,0.519168,0.519168,799
dev,dev_b22_f04_00513,56,200,799,799,799,799,1.000000,1.000000,1.000000,799
dev,dev_b33_f06_00766,56,100,1402,674,674,674,0.480742,0.480742,0.480742,674
dev,dev_b33_f06_00766,56,200,674,674,674,674,1.000000,1.000000,1.000000,674
dev,dev_b09_f00_00225,57,100,1320,399,399,403,0.302273,0.302273,0.305303,399
dev,dev_b09_f00_00225,57,200,403,399,399,399,0.990074,0.990074,0.990074,399
dev,dev_b09_f06_00308,57,100,995,261,261,261,0.262312,0.262312,0.262312,261
dev,dev_b09_f06_00308,57,200,261,261,261,261,1.000000,1.000000,1.000000,261
dev,dev_b16_f00_00345,57,100,1395,830,830,830,0.594982,0.594982,0.594982,830
dev,dev_b16_f00_00345,57,200,830,830,830,830,1.000000,1.000000,1.000000,830
dev,dev_b16_f01_00361,57,100,1580,1580,1580,1580,1.000000,1.000000,1.000000,1580
dev,dev_b16_f01_00361,57,200,1580,1580,1580,1580,1.000000,1.000000,1.000000,1580
dev,dev_b16_f05_00419,57,100,1327,954,950,950,0.718915,0.715901,0.715901,950
dev,dev_b16_f05_00419,57,200,950,954,950,950,1.004211,1.000000,1.000000,950
dev,dev_b09_f01_00240,58,100,1459,534,534,534,0.366004,0.366004,0.366004,530
dev,dev_b09_f01_00240,58,200,537,530,530,530,0.986965,0.986965,0.986965,530
dev,dev_b22_f03_00494,58,100,1196,1011,1011,1011,0.845318,0.845318,0.845318,1011
dev,dev_b22_f03_00494,58,200,1011,1011,1011,1011,1.000000,1.000000,1.000000,1011
dev,dev_b06_f04_00179,59,100,1320,599,603,599,0.453788,0.456818,0.453788,599
dev,dev_b06_f04_00179,59,200,599,599,599,599,1.000000,1.000000,1.000000,599
dev,dev_b22_f01_00471,59,100,1289,1102,1102,1102,0.854926,0.854926,0.854926,1102
dev,dev_b22_f01_00471,59,200,1102,1102,1102,1102,1.000000,1.000000,1.000000,1102
dev,dev_b09_f02_00255,60,100,1230,668,668,683,0.543089,0.543089,0.555285,658
dev,dev_b09_f02_00255,60,200,683,658,658,662,0.963397,0.963397,0.969253,658
dev,dev_b16_f02_00376,60,100,1466,921,921,921,0.628240,0.628240,0.628240,921
dev,dev_b16_f02_00376,60,200,921,921,921,921,1.000000,1.000000,1.000000,921
