name,category,budget,node_count,classes,reachable_classes,free_classes,branch_product_log10,stop,greedy_dag,greedy_tree,greedy_reported,treeopt_dag,treeopt_tree,exact_status,exact_dag,exact_lower_bound,exact_expansions,exact_ms,ratio,loss_dp,loss_sharing,cycle_priced_used_by_exact,cycle_priced_total,reported_matches_returned,reported_delta,dominated_candidates,dp_loss_frac,objective_miss_frac
cellgrid:120x40_d2,cellgrid,production,623,4583,1261,375,229.346,ClassCap,432,6235,6235,432,6235,UNSOLVED,432,85,6385664,4002.6,NaN,0,0,0,0,true,0,1129,0.000000,0.000000
cellgrid:80x24_d1,cellgrid,production,623,4583,1260,375,229.492,ClassCap,427,6235,6235,427,6235,UNSOLVED,427,85,5949440,4001.1,NaN,0,0,0,0,true,0,1128,0.000000,0.000000
cellgrid:80x24_d2,cellgrid,production,623,4583,1261,375,229.346,ClassCap,432,6235,6235,432,6235,UNSOLVED,432,85,6393856,4000.5,NaN,0,0,0,0,true,0,1129,0.000000,0.000000
glyph16:U+0020,glyph,production,1,1,1,0,0.000,Quiesced,0,0,0,0,0,OPTIMAL,0,0,0,0.0,1.000000,0,0,0,0,true,0,0,0.000000,0.000000
glyph16:U+0021,glyph,production,1927,4703,1352,380,199.683,ClassCap,3125,15426,15426,3125,15426,UNSOLVED,3125,154,4708352,4001.7,NaN,0,0,3,3,true,0,2025,0.000000,0.000000
glyph16:U+0022,glyph,production,199,2886,418,215,119.405,ClassCap,310,501,501,310,501,UNSOLVED,310,72,15001600,3465.0,NaN,0,0,0,0,true,0,938,0.000000,0.000000
glyph16:U+0023,glyph,production,615,4309,819,327,179.787,ClassCap,1014,1771,18446744073709551615,1014,1771,UNSOLVED,1014,93,8929280,4000.7,NaN,0,0,106,106,false,-1772,1304,0.000000,0.000000
glyph16:U+0024,glyph,production,7185,5000,3246,222,67.357,ClassCap,13131,138737,18446744073709551615,13131,138737,UNSOLVED,13131,324,10326016,4000.9,NaN,0,0,10,10,false,-138738,1506,0.000000,0.000000
glyph16:U+0025,glyph,production,7327,5000,3186,279,91.684,ClassCap,12640,141308,18446744073709551615,12635,140968,UNSOLVED,12635,288,9355264,4000.3,NaN,5,0,10,10,false,-141309,1469,0.000396,0.002406
glyph16:U+0026,glyph,production,9420,5000,4308,255,76.763,ClassCap,17979,288778,288778,17979,288778,UNSOLVED,17979,336,12558336,4000.3,NaN,0,0,0,0,true,0,433,0.000000,0.000000
