row,set,name,node_count,arm,ended,ended_at_apps,seen_keys,app_actual@25,app_actual@50,app_actual@100,app_actual@200,app_actual@400,app_actual@800,tree@25,tree@50,tree@100,tree@200,tree@400,tree@800,dag@25,dag@50,dag@100,dag@200,dag@400,dag@800
A0,sh_r1b,dev_sh_00000,96,control,app_budget,800,800,25,50,100,200,400,800,4623,4605,4605,4340,4340,4339,747,742,742,825,825,829
A0,sh_r1b,dev_sh_00000,96,linear,app_budget,800,800,25,50,100,200,400,800,4623,4345,4345,4341,4340,4339,747,827,827,826,825,829
A0,sh_r1b,dev_sh_00000,96,unguided,app_budget,931,,37,62,133,204,435,931,4651,4651,4651,4651,4341,4341,775,775,775,775,826,826
A0,sh_r1b,dev_sh_00001,107,control,app_budget,800,800,25,50,100,200,400,800,2068,2056,2056,2039,2039,2037,669,671,671,691,691,694
A0,sh_r1b,dev_sh_00001,107,linear,app_budget,800,800,25,50,100,200,400,800,2068,2057,2057,2039,2039,2037,669,672,672,691,691,694
A0,sh_r1b,dev_sh_00001,107,unguided,app_budget,811,,36,56,126,202,432,811,2295,2295,2295,2295,2292,2272,621,621,621,621,620,610
A0,sh_r1b,dev_sh_00002,51,control,app_budget,800,800,25,50,100,200,400,800,813,813,801,801,801,801,353,353,366,366,366,366
A0,sh_r1b,dev_sh_00002,51,linear,app_budget,800,800,25,50,100,200,400,800,813,813,801,801,801,801,353,353,366,366,366,366
A0,sh_r1b,dev_sh_00002,51,unguided,app_budget,808,,29,85,109,205,442,808,821,821,821,821,821,821,361,361,361,361,361,361
A0,sh_r1b,dev_sh_00003,134,control,app_budget,800,800,25,50,100,200,400,800,2801,2792,2788,2776,2774,2774,692,692,691,714,713,713
A0,sh_r1b,dev_sh_00003,134,linear,app_budget,800,800,25,50,100,200,400,800,2801,2792,2785,2776,2774,2774,692,692,710,714,713,713
A0,sh_r1b,dev_sh_00003,134,unguided,app_budget,911,,32,50,112,227,434,911,3073,3073,3073,3069,3054,3054,624,624,624,623,618,618
A0,sh_r1b,dev_sh_00004,171,control,app_budget,800,800,25,50,100,200,400,800,4448,4434,4304,4167,4156,4152,1034,1024,1024,1020,1034,1030
A0,sh_r1b,dev_sh_00004,171,linear,app_budget,800,800,25,50,100,200,400,800,4188,4174,4174,4169,4160,4151,1034,1024,1024,1022,1023,1029
A0,sh_r1b,dev_sh_00004,171,unguided,app_budget,828,,71,71,108,245,438,828,4614,4614,4614,4614,4610,4610,990,990,990,990,989,989
A0,sh_r1b,dev_sh_00005,73,control,app_budget,800,800,25,50,100,200,400,800,1637,1627,1627,1603,1603,1602,602,592,592,588,588,587
A0,sh_r1b,dev_sh_00005,73,linear,app_budget,800,800,25,50,100,200,400,800,1637,1627,1627,1603,1603,1602,602,592,592,588,588,587
A0,sh_r1b,dev_sh_00005,73,unguided,app_budget,818,,31,90,107,236,415,818,1779,1779,1779,1779,1774,1773,454,454,454,454,449,453
A0,sh_r1b,dev_sh_00006,128,control,app_budget,800,800,25,50,100,200,400,800,3119,3107,3107,3063,3061,3059,641,639,639,651,654,657
A0,sh_r1b,dev_sh_00006,128,linear,app_budget,800,800,25,50,100,200,400,800,3119,3108,3108,3070,3061,3061,641,640,640,628,654,654
A0,sh_r1b,dev_sh_00006,128,unguided,app_budget,866,,41,68,147,226,428,866,3533,3533,3533,3533,3069,2995,505,505,505,505,612,623
A0,sh_r1b,dev_sh_00007,104,control,app_budget,800,800,25,50,100,200,400,800,6137,6113,6113,5816,5816,5815,604,601,601,665,665,669
A0,sh_r1b,dev_sh_00007,104,linear,app_budget,800,800,25,50,100,200,400,800,6137,5853,5853,5816,5816,5815,604,686,686,665,665,669
A0,sh_r1b,dev_sh_00007,104,unguided,app_budget,816,,47,52,140,228,458,816,6291,6291,6291,6291,6291,6284,548,548,548,548,548,547
A0,sh_r1b,dev_sh_00008,120,control,app_budget,800,800,25,50,100,200,400,800,2966,2949,2949,2909,2909,2907,638,636,636,637,637,640
