era,set,n,B,arm,metric,median_ratio,q1_ratio,q3_ratio,improved,unchanged,worse,median_ratio_4B_vs_unguided_B,improved_4B,worse_4B,median_apps_at_stop,stop_reasons,median_classes_at_stop,median_app_actual_arm_at_B,median_app_actual_unguided_at_B
A-L3-midscan-unguided-cap,bezier_bil,80,100,control,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.9098,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_bil,80,100,control,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_bil,80,100,linear,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.8568,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_bil,80,100,linear,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_bil,80,200,control,tree_dp,0.9648,0.9608,0.9975,60,20,0,0.9608,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_bil,80,200,control,dag,0.8669,0.8452,1.0,45,35,0,0.8452,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_bil,80,200,linear,tree_dp,0.9048,0.9048,0.9975,60,20,0,0.9048,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_bil,80,200,linear,dag,0.7857,0.7857,0.9667,60,20,0,0.8344,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_bil,80,100,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,800.0,"{""app_budget"": 80}",518.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_bil,80,200,unguided,-,1.0,1.0,1.0,0,80,0,1.0,0,0,800.0,"{""app_budget"": 80}",518.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_r1b,80,100,control,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.9098,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_r1b,80,100,control,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_r1b,80,100,linear,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.8568,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_r1b,80,100,linear,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_r1b,80,200,control,tree_dp,0.9648,0.9608,0.9975,60,20,0,0.9608,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_r1b,80,200,control,dag,0.8669,0.8452,1.0,45,35,0,0.8452,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_r1b,80,200,linear,tree_dp,0.9048,0.9048,0.9975,60,20,0,0.9048,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_r1b,80,200,linear,dag,0.7857,0.7857,0.9667,60,20,0,0.8344,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,200.0
A-L3-midscan-unguided-cap,bezier_r1b,80,100,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,800.0,"{""app_budget"": 80}",518.0,100.0,100.0
A-L3-midscan-unguided-cap,bezier_r1b,80,200,unguided,-,1.0,1.0,1.0,0,80,0,1.0,0,0,800.0,"{""app_budget"": 80}",518.0,200.0,200.0
A-L3-midscan-unguided-cap,dev,334,100,control,tree_dp,0.5768,0.3121,0.7172,312,9,13,0.5733,298,20,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,100.0,100.0
A-L3-midscan-unguided-cap,dev,334,100,control,dag,0.6627,0.5735,0.7376,326,7,1,0.649,327,0,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,100.0,100.0
A-L3-midscan-unguided-cap,dev,334,100,linear,tree_dp,0.5391,0.0,0.6771,325,7,2,0.5685,303,16,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,100.0,100.0
A-L3-midscan-unguided-cap,dev,334,100,linear,dag,0.6515,0.5656,0.7277,326,7,1,0.6481,327,0,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,100.0,100.0
