name,category,rule_order,node_count,max_classes,stop,hit_class_cap,live_before,closure_unions,live_after,reduction_frac,cost_before,cost_after,cost_change_frac,would_avoid_cap
cellgrid:120x40_d2,cellgrid,production,623,5000,ClassCap,true,1261,7,1254,0.005551,432,432,0.000000,true
cellgrid:80x24_d1,cellgrid,production,623,5000,ClassCap,true,1260,7,1253,0.005556,427,427,0.000000,true
cellgrid:80x24_d2,cellgrid,production,623,5000,ClassCap,true,1261,7,1254,0.005551,432,432,0.000000,true
glyph16:U+0020,glyph,production,1,500,Quiesced,false,1,0,1,0.000000,0,0,0.000000,false
glyph16:U+0021,glyph,production,1927,5000,ClassCap,true,1352,0,1352,0.000000,3125,3125,0.000000,true
glyph16:U+0022,glyph,production,199,5000,ClassCap,true,421,32,389,0.076010,310,286,-0.077419,true
glyph16:U+0023,glyph,production,615,5000,ClassCap,true,826,41,785,0.049637,1014,1014,0.000000,true
glyph16:U+0024,glyph,production,7185,5000,ClassCap,true,3246,0,3246,0.000000,13131,13131,0.000000,true
glyph16:U+0025,glyph,production,7327,5000,ClassCap,true,3186,0,3186,0.000000,12640,12640,0.000000,true
glyph16:U+0026,glyph,production,9420,5000,ClassCap,true,4308,0,4308,0.000000,17979,17979,0.000000,true
glyph16:U+0027,glyph,production,127,5000,ClassCap,true,582,61,521,0.104811,171,152,-0.111111,true
glyph16:U+0028,glyph,production,1855,5000,ClassCap,true,1379,0,1379,0.000000,3039,3039,0.000000,true
glyph16:U+0029,glyph,production,1855,5000,ClassCap,true,1378,0,1378,0.000000,3039,3039,0.000000,true
glyph16:U+002A,glyph,production,559,5000,ClassCap,true,1002,34,968,0.033932,1143,1143,0.000000,true
glyph16:U+002B,glyph,production,247,5000,ClassCap,true,244,0,244,0.000000,319,319,0.000000,true
glyph16:U+002C,glyph,production,1694,5000,ClassCap,true,1366,0,1366,0.000000,2779,2779,0.000000,true
glyph16:U+002D,glyph,production,119,5000,Quiesced,false,117,0,117,0.000000,133,133,0.000000,false
glyph16:U+002E,glyph,production,1855,5000,ClassCap,true,1354,0,1354,0.000000,2881,2881,0.000000,true
glyph16:U+002F,glyph,production,127,5000,Timeout,false,447,37,410,0.082774,166,147,-0.114458,false
glyph16:U+0030,glyph,production,5402,5000,ClassCap,true,2903,0,2903,0.000000,9970,9970,0.000000,true
glyph16:U+0031,glyph,production,1452,5000,ClassCap,true,1323,0,1323,0.000000,2520,2520,0.000000,true
glyph16:U+0032,glyph,production,3891,5000,ClassCap,true,2533,0,2533,0.000000,6980,6980,0.000000,true
glyph16:U+0033,glyph,production,6993,5000,ClassCap,true,3209,0,3209,0.000000,12797,12797,0.000000,true
glyph16:U+0034,glyph,production,1637,5000,ClassCap,true,1337,0,1337,0.000000,2751,2751,0.000000,true
glyph16:U+0035,glyph,production,4546,5000,ClassCap,true,2683,0,2683,0.000000,8145,8145,0.000000,true
glyph16:U+0036,glyph,production,8067,5000,ClassCap,true,3663,0,3663,0.000000,15249,15249,0.000000,true
glyph16:U+0037,glyph,production,191,5000,ClassCap,true,378,0,378,0.000000,288,288,0.000000,true
glyph16:U+0038,glyph,production,9774,5000,ClassCap,true,4420,0,4420,0.000000,18500,18500,0.000000,true
glyph16:U+0039,glyph,production,8267,5000,ClassCap,true,3774,0,3774,0.000000,15698,15698,0.000000,true
glyph16:U+003A,glyph,production,3655,5000,ClassCap,true,2312,0,2312,0.000000,6228,6228,0.000000,true
glyph16:U+003B,glyph,production,3494,5000,ClassCap,true,2307,0,2307,0.000000,6080,6080,0.000000,true
glyph16:U+003C,glyph,production,295,5000,ClassCap,true,420,0,420,0.000000,514,514,0.000000,true
glyph16:U+003D,glyph,production,183,5000,Quiesced,false,172,0,172,0.000000,231,231,0.000000,false
glyph16:U+003E,glyph,production,295,5000,ClassCap,true,421,0,421,0.000000,519,519,0.000000,true
glyph16:U+003F,glyph,production,6716,5000,ClassCap,true,3176,0,3176,0.000000,12176,12176,0.000000,true
glyph16:U+0040,glyph,production,12056,5000,ClassCap,true,5226,0,5226,0.000000,23527,23527,0.000000,false
glyph16:U+0041,glyph,production,1605,5000,ClassCap,true,1340,0,1340,0.000000,2672,2672,0.000000,true
glyph16:U+0042,glyph,production,4470,5000,ClassCap,true,2650,0,2650,0.000000,7970,7970,0.000000,true
glyph16:U+0043,glyph,production,5129,5000,ClassCap,true,2830,0,2830,0.000000,9459,9459,0.000000,true
glyph16:U+0044,glyph,production,2606,5000,ClassCap,true,1933,0,1933,0.000000,4506,4506,0.000000,true
glyph16:U+0045,glyph,production,247,5000,ClassCap,true,370,0,370,0.000000,335,335,0.000000,true
glyph16:U+0046,glyph,production,215,5000,ClassCap,true,331,0,331,0.000000,285,285,0.000000,true
glyph16:U+0047,glyph,production,4563,5000,ClassCap,true,2695,0,2695,0.000000,8262,8262,0.000000,true
glyph16:U+0048,glyph,production,247,5000,ClassCap,true,369,0,369,0.000000,314,314,0.000000,true
