name,category,node_count,classes,reachable_classes,tree_dag,tree_tree,sharing_dag,sharing_tree,chosen_dag,sharing_changed_term,sharing_gain,dag_delta_pct,treeopt_dag,exact_status,exact_dag,gap_closed_frac,tree_arm_ns,scoped_ns
cellgrid:120x40_d2,cellgrid,623,4582,1260,432,6235,431,7379,431,true,1,-0.2315,432,UNSOLVED,431,NaN,986083,2483875
cellgrid:80x24_d1,cellgrid,623,4582,1257,427,6235,426,7379,426,true,1,-0.2342,427,UNSOLVED,426,NaN,1016167,2492292
cellgrid:80x24_d2,cellgrid,623,4582,1260,432,6235,431,7379,431,true,1,-0.2315,432,UNSOLVED,431,NaN,970042,2448167
glyph16:U+0020,glyph,1,1,1,0,0,0,0,0,false,0,0.0000,0,OPTIMAL,0,NaN,709,1458
glyph16:U+0021,glyph,1927,4703,1352,3125,15426,3144,17704,3125,true,0,0.0000,3125,UNSOLVED,3125,NaN,1139708,2627875
glyph16:U+0022,glyph,199,2888,418,310,501,310,501,310,true,0,0.0000,310,UNSOLVED,310,NaN,427375,926875
glyph16:U+0023,glyph,615,4309,819,1014,1771,1058,1799,1014,true,0,0.0000,1014,UNSOLVED,1014,NaN,790166,1852542
glyph16:U+0024,glyph,7185,5000,3246,13131,138737,13130,139069,13130,true,1,-0.0076,13131,UNSOLVED,13130,NaN,1961167,4321125
glyph16:U+0025,glyph,7327,5000,3186,12640,141308,12643,155322,12640,true,0,0.0000,12635,UNSOLVED,12635,NaN,1968792,4347166
glyph16:U+0026,glyph,9420,5000,4308,17979,288778,17979,288778,17979,false,0,0.0000,17979,UNSOLVED,17979,NaN,2434250,5097875
glyph16:U+0027,glyph,127,3562,578,171,270,171,270,171,true,0,0.0000,171,UNSOLVED,171,NaN,569500,1305916
glyph16:U+0028,glyph,1855,4707,1376,3039,14773,3049,17453,3039,true,0,0.0000,3039,UNSOLVED,3039,NaN,1133959,2655833
glyph16:U+0029,glyph,1855,4707,1375,3039,14773,3049,17453,3039,true,0,0.0000,3039,UNSOLVED,3039,NaN,1150125,2634833
glyph16:U+002A,glyph,559,4480,994,1143,1676,1143,1676,1143,true,0,0.0000,1143,UNSOLVED,1143,NaN,866000,1991084
glyph16:U+002B,glyph,247,2053,241,319,578,319,578,319,true,0,0.0000,319,UNSOLVED,319,NaN,303791,629833
glyph16:U+002C,glyph,1694,4675,1365,2779,12714,2793,16466,2779,true,0,0.0000,2779,UNSOLVED,2779,NaN,1140000,2592708
glyph16:U+002D,glyph,119,1035,113,133,232,133,232,133,false,0,0.0000,133,OPTIMAL,133,NaN,112625,240209
glyph16:U+002E,glyph,1855,4675,1352,2881,14371,2903,17453,2881,true,0,0.0000,2881,UNSOLVED,2881,NaN,1187541,2721417
glyph16:U+002F,glyph,127,3444,446,166,266,166,266,166,true,0,0.0000,172,UNSOLVED,166,NaN,510167,1132042
glyph16:U+0030,glyph,5402,5000,2903,9970,72707,9907,99600,9907,true,63,-0.6319,9926,UNSOLVED,9907,NaN,1757333,3912917
glyph16:U+0031,glyph,1452,4416,1323,2520,9316,2526,10876,2520,true,0,0.0000,2520,UNSOLVED,2520,NaN,1136292,2646125
glyph16:U+0032,glyph,3891,4945,2533,6980,50145,7068,65521,6980,true,0,0.0000,6967,UNSOLVED,6967,NaN,1695792,3759250
glyph16:U+0033,glyph,6993,5000,3209,12797,136409,12807,149651,12797,true,0,0.0000,12797,UNSOLVED,12797,NaN,1982125,4340333
glyph16:U+0034,glyph,1637,4552,1336,2751,10916,2759,12996,2751,true,0,0.0000,2751,UNSOLVED,2751,NaN,1180916,2636250
glyph16:U+0035,glyph,4546,4981,2683,8145,54720,8224,83672,8145,true,0,0.0000,8105,UNSOLVED,8105,NaN,1695417,3843292
glyph16:U+0036,glyph,8067,5000,3663,15249,245969,15249,245969,15249,false,0,0.0000,15249,UNSOLVED,15249,NaN,2113583,4759167
glyph16:U+0037,glyph,191,2792,374,288,442,296,450,288,true,0,0.0000,288,UNSOLVED,288,NaN,441625,941875
glyph16:U+0038,glyph,9774,5000,4420,18500,299657,18500,299657,18500,false,0,0.0000,18500,UNSOLVED,18500,NaN,2423792,5204583
glyph16:U+0039,glyph,8267,5000,3774,15698,255187,15698,255187,15698,false,0,0.0000,15698,UNSOLVED,15698,NaN,2213916,4832625
glyph16:U+003A,glyph,3655,4854,2312,6228,43501,6173,67407,6173,true,55,-0.8831,6072,UNSOLVED,6072,NaN,1629083,3745833
glyph16:U+003B,glyph,3494,4855,2307,6080,42403,5991,64891,5991,true,89,-1.4638,5896,UNSOLVED,5896,NaN,1622667,3615125
glyph16:U+003C,glyph,295,2697,415,514,790,580,954,514,true,0,0.0000,514,UNSOLVED,514,NaN,472708,1122125
glyph16:U+003D,glyph,183,1514,170,231,405,231,405,231,false,0,0.0000,231,UNSOLVED,231,NaN,198750,453833
glyph16:U+003E,glyph,295,2710,416,519,795,591,997,519,true,0,0.0000,519,UNSOLVED,519,NaN,474708,1031917
glyph16:U+003F,glyph,6716,5000,3176,12176,128907,12172,142755,12172,true,4,-0.0329,12176,UNSOLVED,12172,NaN,2037000,4381375
glyph16:U+0040,glyph,12056,5226,5226,23527,409366,23527,409366,23527,false,0,0.0000,23527,OPTIMAL,23527,NaN,2654959,5778666
glyph16:U+0041,glyph,1605,4501,1338,2672,10844,2702,13444,2672,true,0,0.0000,2672,UNSOLVED,2672,NaN,1123958,2621166
glyph16:U+0042,glyph,4470,4975,2650,7970,57563,8076,75979,7970,true,0,0.0000,7957,UNSOLVED,7957,NaN,1697583,3814333
glyph16:U+0043,glyph,5129,4996,2830,9459,66750,9377,96562,9377,true,82,-0.8669,9423,UNSOLVED,9377,NaN,1741000,3856708
glyph16:U+0044,glyph,2606,4367,1933,4506,31079,4562,43095,4506,true,0,0.0000,4497,UNSOLVED,4497,NaN,1320209,3005292
glyph16:U+0045,glyph,247,2780,368,335,553,335,553,335,true,0,0.0000,335,UNSOLVED,329,NaN,437375,959750
glyph16:U+0046,glyph,215,2532,329,285,471,285,471,285,true,0,0.0000,285,UNSOLVED,279,NaN,390167,833416
glyph16:U+0047,glyph,4563,4983,2695,8262,54984,8340,84072,8262,true,0,0.0000,8222,UNSOLVED,8222,NaN,1683791,3708334
glyph16:U+0048,glyph,247,2793,367,314,562,314,562,314,true,0,0.0000,314,UNSOLVED,307,NaN,420417,907875
glyph16:U+0049,glyph,391,3416,562,626,1041,681,1076,626,true,0,0.0000,626,UNSOLVED,626,NaN,592125,1315500
glyph16:U+004A,glyph,2425,4282,1868,4339,28910,4256,44227,4256,true,83,-1.9129,4191,UNSOLVED,4191,NaN,1259292,2920875
glyph16:U+004B,glyph,617,4576,921,1047,2835,1058,2842,1047,true,0,0.0000,1047,UNSOLVED,1047,NaN,937500,2229875
glyph16:U+004C,glyph,151,3354,420,185,307,185,307,185,true,0,0.0000,185,UNSOLVED,169,NaN,526834,1108125
glyph16:U+004D,glyph,2345,4914,1703,4133,17380,4194,18664,4133,true,0,0.0000,4133,UNSOLVED,4133,NaN,1349333,3100750
glyph16:U+004E,glyph,1399,4650,1324,2457,8960,2453,11082,2453,true,4,-0.1628,2457,UNSOLVED,2453,NaN,1130666,2588958
glyph16:U+004F,glyph,5945,5000,3006,10769,94867,10720,120001,10720,true,49,-0.4550,10753,UNSOLVED,10720,NaN,1864417,4095291
glyph16:U+0050,glyph,2409,4880,1714,3990,21912,3990,21912,3990,true,0,0.0000,3990,UNSOLVED,3990,NaN,1275042,3007250
glyph16:U+0051,glyph,6053,5000,3029,10749,96355,10703,120578,10703,true,46,-0.4279,10741,UNSOLVED,10703,NaN,1900416,4173833
glyph16:U+0052,glyph,2710,4509,2000,4725,31606,4787,44830,4725,true,0,0.0000,4716,UNSOLVED,4716,NaN,1326792,3022292
glyph16:U+0053,glyph,7616,5000,3414,14066,151765,14066,151765,14066,false,0,0.0000,14066,UNSOLVED,14066,NaN,2003292,4343000
glyph16:U+0054,glyph,183,3522,466,227,394,227,394,227,true,0,0.0000,227,UNSOLVED,214,NaN,550875,1193708
glyph16:U+0055,glyph,2899,4686,2079,5170,34067,5083,52429,5083,true,87,-1.6828,5006,UNSOLVED,5006,NaN,1403416,3228000
glyph16:U+0056,glyph,1573,4611,1318,2647,11054,2659,14174,2647,true,0,0.0000,2647,UNSOLVED,2647,NaN,1111542,2572917
glyph16:U+0057,glyph,7232,5000,3271,13499,140483,13493,129516,13493,true,6,-0.0444,13494,UNSOLVED,13493,NaN,1987709,4233417
glyph16:U+0058,glyph,343,3607,623,652,963,696,991,652,true,0,0.0000,652,UNSOLVED,652,NaN,659375,1448459
glyph16:U+0059,glyph,263,2680,411,437,687,503,851,437,true,0,0.0000,437,UNSOLVED,437,NaN,460959,1000417
glyph16:U+005A,glyph,255,3358,457,393,611,401,619,393,true,0,0.0000,393,UNSOLVED,393,NaN,541167,1201291
glyph16:U+005B,glyph,183,1519,174,234,400,234,400,234,false,0,0.0000,234,UNSOLVED,234,NaN,192958,414000
glyph16:U+005C,glyph,127,3444,446,166,266,166,266,166,true,0,0.0000,172,UNSOLVED,166,NaN,518250,1126375
glyph16:U+005D,glyph,183,1517,176,244,410,244,410,244,false,0,0.0000,244,UNSOLVED,244,NaN,196500,425417
glyph16:U+005E,glyph,199,2891,416,319,501,319,501,319,true,0,0.0000,319,UNSOLVED,319,NaN,430916,942584
glyph16:U+005F,glyph,119,2994,318,129,216,129,216,129,true,0,0.0000,129,OPTIMAL,129,NaN,414792,842041
glyph16:U+0060,glyph,1722,4684,1341,2827,13614,2838,16562,2827,true,0,0.0000,2827,UNSOLVED,2827,NaN,1214833,2931458
glyph16:U+0061,glyph,5743,5000,3007,10612,88199,10563,112736,10563,true,49,-0.4617,10600,UNSOLVED,10563,NaN,1877000,4030542
glyph16:U+0062,glyph,5129,4995,2824,9434,65528,9353,94907,9353,true,81,-0.8586,9394,UNSOLVED,9353,NaN,1680958,3830000
glyph16:U+0063,glyph,4671,4984,2700,8419,57148,8508,87608,8419,true,0,0.0000,8383,UNSOLVED,8383,NaN,1803375,3868666
glyph16:U+0064,glyph,5864,5000,3022,10763,92357,10715,116920,10715,true,48,-0.4460,10755,UNSOLVED,10715,NaN,1966916,4141250
glyph16:U+0065,glyph,4872,4989,2751,8766,59599,8863,90292,8766,true,0,0.0000,8738,UNSOLVED,8738,NaN,1663875,3885583
glyph16:U+0066,glyph,2364,4879,1682,3955,20783,3955,20783,3955,true,0,0.0000,3955,UNSOLVED,3955,NaN,1255542,2869333
glyph16:U+0067,glyph,7009,5000,3208,12799,135627,12804,148478,12799,true,0,0.0000,12799,UNSOLVED,12799,NaN,1899792,4211083
glyph16:U+0068,glyph,2931,4717,2082,5045,34505,5113,48941,5045,true,0,0.0000,5036,UNSOLVED,5036,NaN,1412750,3227917
glyph16:U+0069,glyph,2123,4726,1455,3510,16899,3514,17939,3510,true,0,0.0000,3510,UNSOLVED,3510,NaN,1178375,2748958
glyph16:U+006A,glyph,4293,4971,2597,7523,50935,7576,78234,7523,true,0,0.0000,7463,UNSOLVED,7463,NaN,1648542,3841375
glyph16:U+006B,glyph,1460,4454,1304,2517,9653,2525,11733,2517,true,0,0.0000,2517,UNSOLVED,2517,NaN,1068125,2547542
glyph16:U+006C,glyph,323,3005,465,522,844,600,1084,522,true,0,0.0000,522,UNSOLVED,522,NaN,507875,1114416
