kernel,class,extent_w,extent_h,packed,input_nodes,off_nodes,on_nodes,cse_nodes,input_dag_cost,off_dag_cost,on_dag_cost,cse_dag_cost,sh_dag_cost,off_bytes,on_bytes,cse_bytes,sh_bytes,off_schedule,on_schedule,off_selects,on_selects,off_guarded,on_guarded,sh_guarded,off_spill,on_spill,off_dyn_mem_ops,on_dyn_mem_ops,off_ns_px,on_ns_px,clock_pct,off_optimize_ms,on_optimize_ms,on_emit_ms,on_applications,on_iterations,on_classes,on_stop,picture_identical,same_form_max_abs_off,same_form_max_abs_on,cross_form_max_abs_on,packed_mismatch_cross_on,select_hoist_fired,select_hoist_load_bearing,select_hoist_strict,top_load_bearing_rule
bench_A_linear,bench,40,45,false,271,271,169,157,24607,823,670,618,670,2128,1968,1744,1968,191,71,7,7,242,77,77,0,0,0,3522,-,-,-,0.10,49.10,2.73,8114,3,3006,ClassCap,false,0e0,9.5367431640625e-7,7.152557373046875e-7,0,0,0,0,fma-fusion (17/658/1862)
bench_O_quadratic,bench,40,45,false,1799,3655,1482,1536,132157,14365,6770,6901,6770,28208,15184,15344,15184,3503,401,209,49,9730,979,979,226,0,390359,117702,-,-,-,0.87,20.07,14.59,3328,1,4868,ClassCap,false,6.556510925292969e-7,1.5497207641601563e-6,1.3709068298339844e-6,0,0,0,0,fma-fusion (82/404/556)
bench_O_quadratic_wide,bench_wide,640,45,false,1799,3655,1482,1536,132157,14365,6770,6901,6770,28208,15184,15344,15184,3503,401,209,49,9730,979,979,226,0,6242609,1751202,-,-,-,0.88,19.68,13.96,3328,1,4868,ClassCap,false,0e0,0e0,0e0,0,0,0,0,fma-fusion (82/404/556)
bench_S_complex,bench,40,45,false,2815,5623,2453,2463,214513,22061,11087,10994,11087,43024,24032,25168,24032,5359,652,317,77,14850,1580,1580,291,0,500658,180975,-,-,-,1.99,23.86,18.58,2485,1,5000,ClassCap,false,4.291534423828125e-6,4.291534423828125e-6,5.0067901611328125e-6,0,0,0,0,commutative(Mul) (0/579/675)
cellgrid_80x24_d2,cellgrid,1600,768,true,667,667,117,123,1879,1879,428,450,428,8864,2576,2512,2576,779,217,0,0,0,0,0,27,7,42154099,5227011,-,-,-,0.01,24.39,0.77,6841,3,4641,ClassCap,true,0e0,0e0,0e0,0,0,0,0,fma-fusion (20/214/1515)
glyph16_U0020,glyph16,16,16,false,1,1,1,1,0,0,0,0,0,164,164,164,164,1,1,0,0,0,0,0,0,0,0,0,-,-,-,0.39,0.09,0.40,0,1,1,Quiesced,true,0e0,0e0,0e0,0,0,0,0,-
glyph16_U0021,glyph16,16,16,false,271,255,125,131,24607,719,432,502,432,1936,1408,1440,1408,191,65,7,7,242,57,57,0,0,0,598,-,-,-,0.08,124.40,1.89,13999,4,3331,ClassCap,false,0e0,4.76837158203125e-7,4.76837158203125e-7,0,0,0,0,fma-fusion (14/513/2860)
glyph16_U0022,glyph16,16,16,false,199,183,73,90,16441,481,217,314,217,1456,848,1072,848,143,46,5,5,162,31,31,0,0,0,130,-,-,-,0.05,49.55,1.32,20395,7,1438,Quiesced,false,0e0,2.384185791015625e-7,1.788139343261719e-7,0,0,0,0,fma-fusion (7/241/3854)
glyph16_U0023,glyph16,16,16,false,631,615,302,274,65437,1909,1202,1135,1202,4400,3152,3424,3152,431,148,17,17,642,161,161,1,0,582,3520,-,-,-,0.20,77.68,3.76,9918,3,4190,ClassCap,false,0e0,1.430511474609375e-6,1.4901161193847656e-6,0,0,0,0,fma-fusion (20/745/2233)
glyph16_U0024,glyph16,16,16,false,3031,5819,2538,2567,239011,22645,11328,11357,11328,44640,25248,26528,25248,5503,714,323,83,15090,1687,1687,291,0,72264,29661,-,-,-,2.31,25.71,19.06,2375,1,5000,ClassCap,false,4.76837158203125e-7,2.294778823852539e-6,2.294778823852539e-6,0,0,0,0,commutative(Mul) (0/593/689)
