cap,width,family,kernels,sum_dag_cost,ratio_vs_greedy,sum_bytes,bytes_ratio,improved,unchanged,worse,fnv_identical,objective_shared,objective_tree,sum_optimize_ms
5000,greedy,cellgrid,1,428,1.000000,2576,1.000000,0,1,0,1,1,0,20.9
5000,greedy,chrome,1,1668,1.000000,3424,1.000000,0,1,0,1,1,0,172.7
5000,greedy,glyph16,95,392757,1.000000,852052,1.000000,0,95,0,95,44,51,5765.9
5000,greedy,psychedelic,1,825,1.000000,2368,1.000000,0,1,0,1,0,1,20.1
5000,greedy,shader,12,4618,1.000000,15072,1.000000,0,12,0,12,3,9,296.5
5000,beam1,cellgrid,1,428,1.000000,2576,1.000000,0,1,0,1,1,0,19.8
5000,beam1,chrome,1,1668,1.000000,3424,1.000000,0,1,0,1,1,0,180.4
5000,beam1,glyph16,95,392757,1.000000,852052,1.000000,0,95,0,95,44,51,5786.5
5000,beam1,psychedelic,1,825,1.000000,2368,1.000000,0,1,0,1,0,1,20.6
5000,beam1,shader,12,4618,1.000000,15072,1.000000,0,12,0,12,3,9,294.4
5000,beam4,cellgrid,1,428,1.000000,2576,1.000000,0,1,0,1,1,0,34.2
5000,beam4,chrome,1,1668,1.000000,3424,1.000000,0,1,0,1,1,0,200.2
5000,beam4,glyph16,95,392741,0.999959,852068,1.000019,1,94,0,94,45,50,6667.5
5000,beam4,psychedelic,1,825,1.000000,2368,1.000000,0,1,0,1,0,1,30.4
5000,beam4,shader,12,4618,1.000000,15072,1.000000,0,12,0,12,3,9,368.7
5000,beam16,cellgrid,1,428,1.000000,2576,1.000000,0,1,0,1,1,0,151.3
5000,beam16,chrome,1,1660,0.995204,3408,0.995327,1,0,0,0,1,0,342.3
5000,beam16,glyph16,95,392633,0.999684,851844,0.999756,8,87,0,87,45,50,15322.9
5000,beam16,psychedelic,1,825,1.000000,2368,1.000000,0,1,0,1,0,1,128.4
5000,beam16,shader,12,4618,1.000000,15072,1.000000,0,12,0,12,3,9,952.9
5000,beam64,cellgrid,1,420,0.981308,2512,0.975155,1,0,0,0,1,0,2327.1
5000,beam64,chrome,1,1668,1.000000,3424,1.000000,0,1,0,1,1,0,2143.2
5000,beam64,glyph16,95,392725,0.999919,851332,0.999155,6,85,4,85,45,50,150038.5
5000,beam64,psychedelic,1,825,1.000000,2368,1.000000,0,1,0,1,0,1,1452.2
5000,beam64,shader,12,4602,0.996535,15056,0.998938,1,11,0,11,4,8,8909.6
50000,greedy,cellgrid,1,427,1.000000,2560,1.000000,0,1,0,1,1,0,144.2
50000,greedy,chrome,1,2214,1.000000,4000,1.000000,0,1,0,1,1,0,2480.5
50000,greedy,psychedelic,1,829,1.000000,2352,1.000000,0,1,0,1,0,1,249.2
50000,greedy,shader,12,4976,1.000000,15696,1.000000,0,12,0,12,3,9,23524.9
50000,beam1,cellgrid,1,427,1.000000,2560,1.000000,0,1,0,1,1,0,155.4
50000,beam1,chrome,1,2214,1.000000,4000,1.000000,0,1,0,1,1,0,2465.9
50000,beam1,psychedelic,1,829,1.000000,2352,1.000000,0,1,0,1,0,1,249.1
50000,beam1,shader,12,4976,1.000000,15696,1.000000,0,12,0,12,3,9,22212.6
50000,beam4,cellgrid,1,427,1.000000,2560,1.000000,0,1,0,1,1,0,330.8
50000,beam4,chrome,1,2214,1.000000,4000,1.000000,0,1,0,1,1,0,2529.9
50000,beam4,psychedelic,1,829,1.000000,2352,1.000000,0,1,0,1,0,1,353.3
50000,beam4,shader,12,4976,1.000000,15696,1.000000,0,12,0,12,3,9,23996.2
50000,beam16,cellgrid,1,427,1.000000,2560,1.000000,0,1,0,1,1,0,1597.4
50000,beam16,chrome,1,2214,1.000000,4000,1.000000,0,1,0,1,1,0,3365.9
50000,beam16,psychedelic,1,829,1.000000,2352,1.000000,0,1,0,1,0,1,1437.9
50000,beam16,shader,12,4976,1.000000,15696,1.000000,0,12,0,12,3,9,29303.7
50000,beam64,cellgrid,1,419,0.981265,2496,0.975000,1,0,0,0,1,0,19458.5
50000,beam64,chrome,1,2214,1.000000,4000,1.000000,0,1,0,1,1,0,19784.6
50000,beam64,psychedelic,1,829,1.000000,2352,1.000000,0,1,0,1,0,1,16984.3
50000,beam64,shader,12,4869,0.978497,15568,0.991845,2,10,0,10,4,8,94276.1
