family,b_label,arm,rho,model,n,dag_median,dag_p10,dag_p90,bytes_median,bytes_p10,bytes_p90,guarded_sum_arm,guarded_sum_identity,applications_median,classes_median,iterations_median,keep_rate,macs_sum,filter_ms_sum,wall_ms_sum,identity_wall_ms_sum,set
bench,B,bilinear,0.25,all,3,0.9724,0.9588,1.0126,1.0280,0.9636,1.0495,8671,2769,2107.0,4602.0,1.0,0.7266,57392800,3.5,35.3,116.5,dev
bench,B,bilinear,0.25,heldout,3,0.9904,0.5735,1.0016,1.0013,0.7364,1.0083,2742,2769,3120.0,4976.0,1.0,0.3957,159236416,15.0,82.1,116.5,dev
bench,B,bilinear,0.5,all,3,1.0063,1.0000,1.1564,1.0104,1.0000,1.2273,2781,2769,2613.0,4988.0,1.0,0.5369,128388128,14.7,74.5,116.5,dev
bench,B,bilinear,0.5,heldout,3,0.9978,0.9415,1.0010,1.0007,0.9938,1.1273,2814,2769,3137.0,4972.0,1.0,0.6228,137498848,14.1,63.2,116.5,dev
bench,B,identity,0,-,3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2769,2769,3153.0,4991.0,1.0,1.0000,0,0.0,116.5,116.5,dev
bench,B,per_rule,0.25,heldout,3,0.9338,0.7425,0.9724,0.9273,0.8696,1.0495,8634,2769,1977.0,2972.0,2.0,0.6303,0,0.0,33.4,116.5,dev
bench,B,per_rule,0.5,heldout,3,0.8341,0.6414,0.9462,0.9455,0.8644,1.0475,8119,2769,2225.0,3376.0,2.0,0.7173,0,0.0,34.3,116.5,dev
bench,B,uniform,0.25,-,3,0.9696,0.9398,1.0221,1.0421,0.9793,1.0455,8613,2769,1081.0,3862.0,3.0,0.2468,0,0.0,46.6,116.5,dev
bench,B,uniform,0.5,-,3,0.9037,0.8799,0.9717,1.0482,0.9803,1.0636,8404,2769,2028.0,4080.0,1.0,0.4938,0,0.0,149.1,116.5,dev
bench,B,uniform_matched,0.25,all,3,1.0020,0.9128,1.0063,0.9658,0.9636,0.9946,2862,2769,2179.0,4661.0,1.0,0.7286,0,0.0,33.4,116.5,dev
bench,B,uniform_matched,0.25,heldout,3,1.0017,0.9953,1.0537,1.0020,0.9762,1.0727,2868,2769,2225.0,4983.0,1.0,0.9196,0,0.0,34.1,116.5,dev
bench,B,uniform_matched,0.5,all,3,1.0049,0.9565,1.0442,1.0060,0.9917,1.1273,2844,2769,2923.0,4942.0,1.0,0.4972,0,0.0,268.9,116.5,dev
bench,B,uniform_matched,0.5,heldout,3,0.9960,0.7725,1.0003,0.9979,0.8909,1.0000,2772,2769,3139.0,4990.0,1.0,0.6076,0,0.0,181.5,116.5,dev
bench,B/2,bilinear,0.25,all,3,1.0000,0.9738,1.0976,1.0642,1.0000,1.0928,8836,6738,1112.0,3744.0,1.0,0.9211,30397088,1.9,12.6,20.7,dev
bench,B/2,bilinear,0.25,heldout,3,1.0000,0.6216,1.0000,1.0000,0.8351,1.0000,6738,6738,1564.0,3611.0,1.0,0.3228,134072096,13.5,66.5,20.7,dev
bench,B/2,bilinear,0.5,all,3,1.0000,1.0000,1.2534,1.0000,1.0000,1.3918,6792,6738,1576.0,3642.0,1.0,0.4864,102881344,12.4,46.8,20.7,dev
bench,B/2,bilinear,0.5,heldout,3,1.0000,0.9812,1.0000,1.0000,1.0000,1.1237,6765,6738,1576.0,3642.0,1.0,0.6515,78580608,7.9,32.3,20.7,dev
bench,B/2,identity,0,-,3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,6738,6738,1576.0,3642.0,1.0,1.0000,0,0.0,20.7,20.7,dev
bench,B/2,per_rule,0.25,heldout,3,0.9738,0.8048,1.0000,1.0515,1.0000,1.0642,8836,6738,1112.0,2922.0,1.0,0.6060,0,0.0,18.7,20.7,dev
bench,B/2,per_rule,0.5,heldout,3,0.9196,0.6952,1.0000,1.0587,1.0000,1.0722,8653,6738,1112.0,3148.0,1.0,0.6908,0,0.0,19.6,20.7,dev
bench,B/2,uniform,0.25,-,3,0.9964,0.9713,1.1079,1.0676,0.9975,1.1856,8858,6738,774.0,2780.0,2.0,0.2475,0,0.0,24.1,20.7,dev
bench,B/2,uniform,0.5,-,3,0.9924,0.9247,0.9948,1.0775,0.9893,1.1959,8748,6738,1463.0,3520.0,1.0,0.4863,0,0.0,31.9,20.7,dev
bench,B/2,uniform_matched,0.25,all,3,1.0000,0.9978,1.0908,1.0011,1.0000,1.0928,6852,6738,1112.0,3643.0,1.0,0.9251,0,0.0,10.3,20.7,dev
bench,B/2,uniform_matched,0.25,heldout,3,1.0000,0.9992,1.1421,1.0000,1.0000,1.2165,6858,6738,1112.0,3662.0,1.0,0.8937,0,0.0,11.2,20.7,dev
bench,B/2,uniform_matched,0.5,all,3,1.0000,1.0000,1.0890,1.0000,1.0000,1.2268,6788,6738,1576.0,3642.0,1.0,0.5117,0,0.0,44.2,20.7,dev
bench,B/2,uniform_matched,0.5,heldout,3,1.0000,1.0000,1.0805,1.0000,1.0000,1.3093,6789,6738,1576.0,3642.0,1.0,0.6485,0,0.0,26.5,20.7,dev
bench,B/4,bilinear,0.25,all,3,1.0000,1.0000,1.1167,1.0000,0.9725,1.0000,8972,8883,556.0,2549.0,1.0,0.9000,15819680,0.9,8.2,10.4,dev
bench,B/4,bilinear,0.25,heldout,3,1.0000,0.8833,1.0000,1.0000,0.8440,1.0000,8856,8883,788.0,2549.0,1.0,0.5472,41977024,3.6,17.1,10.4,dev
bench,B/4,bilinear,0.5,all,3,1.0000,1.0000,1.1324,1.0000,1.0000,1.1101,8908,8883,788.0,2549.0,1.0,0.6095,40476096,3.6,16.5,10.4,dev
bench,B/4,bilinear,0.5,heldout,3,1.0000,0.9843,1.0000,1.0000,0.9174,1.0000,8859,8883,788.0,2549.0,1.0,0.7474,35930176,3.2,16.9,10.4,dev
bench,B/4,identity,0,-,3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8883,8883,788.0,2549.0,1.0,1.0000,0,0.0,10.4,10.4,dev
bench,B/4,per_rule,0.25,heldout,3,1.0000,0.8188,1.0000,1.0000,0.9358,1.0000,8972,8883,595.0,2549.0,1.0,0.8948,0,0.0,10.1,10.4,dev
