# BWD Training Pairs - Lample & Charton style
# Format: name|unopt_nodes|opt_nodes|node_savings|unopt_expr|opt_expr
# node_savings = unopt_nodes - opt_nodes (larger = more optimization)
#
bwd0000|36|16|20|BMul(BAdd(V0,C0),URsqrt(BAdd(BSub(BAdd(USqrt(V3),UNeg(UNeg(C0))),BMul(UAbs(V0),BAdd(BMul(BMin(BMul(BMul(BAdd(V0,C0),BMul(C1,C1)),C1),V0),BMax(V1,V3)),BMul(C1.9733176,C1)))),C0)))|BMulRsqrt(V0,BSub(USqrt(V3),BMul(UAbs(V0),TMulAdd(BMin(V0,V0),BMax(V1,V3),C1.9733176))))
bwd0001|245|43|202|BMul(BMul(BAdd(UNeg(UNeg(UNeg(BMul(BMul(UNeg(UNeg(UNeg(BSub(UNeg(BAdd(UNeg(UNeg(BMul(BMul(BAdd(BMul(BMul(UNeg(UNeg(BAdd(BMul(BMul(C0.808866,C1),BAdd(BMul(BAdd(C-1.8121881,C0),UNeg(UNeg(C1))),BMul(C0,C1))),UNeg(UNeg(BMul(BMul(UNeg(UNeg(V3)),C1),BMul(C1,C1))))))),C1),C1),C0),UNeg(UNeg(C1))),BAdd(BMul(V2,UNeg(BAdd(UNeg(BAdd(BMul(BAdd(UNeg(UNeg(BMul(V0,C1))),BMul(C0,C1)),BMul(C1,C1)),C0)),BMul(UNeg(UNeg(C0)),C1)))),V2)))),BAdd(BMul(BAdd(UNeg(UNeg(BAdd(UNeg(UNeg(BAdd(C-1.7315104,C0))),BAdd(BAdd(C0,UNeg(BMul(UNeg(C0),UNeg(UNeg(UNeg(BAdd(UNeg(UNeg(UNeg(BMul(UNeg(UNeg(UNeg(UNeg(UNeg(BAdd(UNeg(BMul(UNeg(UNeg(C1)),C1)),C0)))))),C1)))),C0))))))),C0)))),C0),V0),V2))),BMul(BMul(BSub(BMin(V1,BAdd(V3,UNeg(BMul(UNeg(C0),C1)))),BAdd(BAdd(BMul(BAdd(V1,C0),BAdd(BMul(BMul(BAdd(C-1.2044127,C0),UNeg(UNeg(C1))),C1),C0)),C0),V3)),URsqrt(BMul(V1,C1))),C1))))),BAdd(C1,C0)),C1)))),C0),UNeg(UNeg(BMul(C1,C1)))),URsqrt(UNeg(UNeg(BAdd(BAdd(BAdd(BMul(V2,UNeg(BAdd(UNeg(UNeg(BMul(V0,C1))),BMul(C0,C1)))),C0),BMul(UNeg(UNeg(BAdd(UNeg(UNeg(BMul(C-0.93559074,BAdd(BMul(BMul(BMul(UNeg(UNeg(C1.1030705)),C1),C1),BAdd(UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(URsqrt(BMul(BMul(V3,C1),C1)))))))),C0)),C0)))),BMul(V0,URsqrt(BMul(V1,C1)))))),UNeg(UNeg(URsqrt(BAdd(BMin(C0.9042876,UNeg(BAdd(C0.27369857,BAdd(C0,C0)))),C0)))))),C0)))))|BMulRsqrt(BSub(UNeg(TMulAdd(TMulAdd(C0.808866,C-1.8121881,V3),TMulAdd(V2,V0,V2),TMulAdd(C-1.7315104,V0,V2))),BMulRsqrt(BSub(BMin(V1,V3),TMulAdd(V1,C-1.2044127,V3)),V1)),TMulAdd(V2,UNeg(V0),BMulRsqrt(TMulAdd(C-0.93559074,BMulRsqrt(C1.1030705,V3),BMulRsqrt(V0,V1)),BMin(C0.9042876,UNeg(C0.27369857)))))
bwd0002|63|20|43|BAdd(BMul(BMul(BMul(BAdd(UNeg(BMul(UNeg(BAdd(BAdd(BAdd(UNeg(UNeg(BMul(V3,BMul(V3,URsqrt(BMul(UNeg(UNeg(BAdd(C0.016142368,BAdd(C0,BAdd(C0,C0))))),C-0.9083439)))))),C0),BMul(UNeg(UNeg(C0)),C1)),C0)),C1)),BAdd(BMul(BAdd(BMul(BMul(V3,URsqrt(V3)),C1),C0),V0),BAdd(BMul(BMul(C-0.88999844,C1),V3),C-1.6924644))),C1),URsqrt(C-0.68007934)),URsqrt(BMul(C1.6941946,C1))),C0)|BMulRsqrt(BMulRsqrt(TMulAdd(V3,BMulRsqrt(V3,BMul(C0.016142368,C-0.9083439)),TMulAdd(BMulRsqrt(V3,V3),V0,TMulAdd(C-0.88999844,V3,C-1.6924644))),C-0.68007934),C1.6941946)
bwd0003|155|41|114|BMul(BAdd(BMul(USqrt(BMul(UNeg(UNeg(BMul(BMin(BMax(UNeg(UNeg(V3)),C-1.9788117),BMul(UNeg(UNeg(BAdd(BAdd(V2,UNeg(BAdd(BMul(UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(BAdd(UNeg(UNeg(UNeg(C0))),BMul(C0,UNeg(UNeg(C1)))))))))),C1),C0))),C0))),URsqrt(V3))),C1))),BMul(USqrt(BAdd(UNeg(UNeg(BMul(BMul(V1,BAdd(UNeg(UNeg(V1)),C0)),C1))),C0)),BAdd(C1,BAdd(C0,C0))))),UNeg(UNeg(UNeg(BMul(C1.7379682,C1))))),BMul(BMul(UNeg(UNeg(UNeg(UNeg(BAdd(BMul(BMin(V3,V2),BMul(C0.55372524,URsqrt(UNeg(UNeg(UNeg(UNeg(C0.63911843))))))),BMul(V3,BAdd(URsqrt(C0.67200994),UNeg(UNeg(BMul(BMul(C0,C1),C1)))))))))),BAdd(URsqrt(BAdd(BMul(BAdd(BAdd(BMul(C-1.9939833,V3),BAdd(C0,C0)),V1),BAdd(BMul(BAdd(V0,C0),BAdd(C1,UNeg(UNeg(C0)))),C0)),USqrt(V0))),BMul(C0,C1))),BAdd(BMin(V1,UNeg(UAbs(UNeg(BAdd(UNeg(BAdd(V2,BAdd(BAdd(C0,C0),BMul(C0,C1)))),C0))))),UNeg(BMul(UNeg(C0),C1))))),C1)|TMulAdd(USqrt(BMul(BMin(BMax(V3,C-1.9788117),BMulRsqrt(V2,V3)),USqrt(BMul(V1,V1)))),UNeg(C1.7379682),BMul(BMulRsqrt(TMulAdd(BMin(V3,V2),BMulRsqrt(C0.55372524,C0.63911843),BMulRsqrt(V3,C0.67200994)),TMulAdd(TMulAdd(C-1.9939833,V3,V1),V0,USqrt(V0))),BMin(V1,UNeg(UAbs(V2)))))
bwd0004|219|62|157|BMul(BAdd(UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(BAdd(UNeg(BAdd(BMul(C0.5553827,USqrt(USqrt(BMul(BMul(BAdd(BMul(C1.1238809,V0),V0),C1),UNeg(UNeg(UNeg(UNeg(C1)))))))),C0)),C0)))))))),BMul(BAdd(BAdd(BAdd(BMul(BAdd(UNeg(UNeg(BMul(BAdd(BAdd(BMin(V0,BMul(UNeg(BMul(UNeg(V2),C1)),C1)),C0),C0),UNeg(UNeg(BMin(C-0.051789522,BMul(C0.15921617,C1))))))),BMul(BMul(V3,C1),C1)),C-0.7336632),C0),BAdd(C0,C0)),C0.70687985),C1)),UNeg(UNeg(BAdd(URsqrt(BMul(BAdd(BMul(BMul(BAdd(BMul(BMulRsqrt(V2,V0),URsqrt(V1)),BAdd(UNeg(UNeg(BAdd(BMul(BAdd(BAdd(V3,C0),V0),V2),C0))),C1.1490426)),C1),BAdd(BMul(BMul(BMul(BMul(BAdd(BMul(BMul(V0,C1),BMul(C1,C1)),C0),BAdd(BMul(C1,C1),C0)),BAdd(BAdd(URsqrt(UNeg(UNeg(BMax(C-0.6181085,V1)))),C0),BAdd(C0,C0))),C1.2046142),C1),BMul(UNeg(BMul(V2,URsqrt(V1))),C1))),BAdd(BMul(BSub(UNeg(BAdd(UNeg(BAdd(BAdd(C1.9160635,C1.1206818),C0)),C0)),UNeg(BAdd(BAdd(UNeg(BAdd(V1,BAdd(V3,BMul(BMul(BAdd(C0,C0),C1),BMul(BAdd(C1,C0),BMul(C1,C1)))))),BMul(C0,C1)),C0))),UNeg(UNeg(UNeg(UNeg(USqrt(BMin(UNeg(BAdd(BAdd(UNeg(V1),UNeg(UNeg(BAdd(C0,C0)))),C0)),UNeg(UNeg(C1.4034691))))))))),BMul(BMul(BMin(C-1.3947835,UNeg(UNeg(UNeg(UNeg(V3))))),C1),BAdd(URsqrt(BAdd(USqrt(C1.3293192),BAdd(C0,C0))),C0)))),C1)),C0))))|BMulRsqrt(TMulAdd(C0.5553827,USqrt(USqrt(TMulAdd(C1.1238809,V0,V0))),TMulAdd(TMulAdd(BMin(V0,V2),BMin(C-0.051789522,C0.15921617),V3),C-0.7336632,C0.70687985)),TMulAdd(BAdd(BMulRsqrt(BMulRsqrt(V2,V0),V1),TMulAdd(BAdd(V3,V0),V2,C1.1490426)),TMulAdd(BMulRsqrt(V0,BMax(C-0.6181085,V1)),C1.2046142,UNeg(BMulRsqrt(V2,V1))),TMulAdd(BSub(BAdd(C1.9160635,C1.1206818),BAdd(V1,V3)),USqrt(BMin(V1,C1.4034691)),BMulRsqrt(BMin(C-1.3947835,V3),USqrt(C1.3293192)))))
bwd0005|57|17|40|BMul(BAdd(USqrt(BMul(BMul(BAdd(BMul(BAdd(UAbs(BMul(V0,C1)),BAdd(BMul(V1,BMul(BAdd(V1,C0),BMul(C1,C1))),BAdd(V2,UNeg(UNeg(C0))))),UNeg(UNeg(C1))),C0),BAdd(C1,C0)),URsqrt(BAdd(BMul(V0,BMul(UNeg(BMul(UNeg(URsqrt(V0)),C1)),C1)),BAdd(USqrt(C0.22914362),UNeg(UNeg(C0))))))),C0),URsqrt(UNeg(UNeg(V0))))|BMulRsqrt(USqrt(BMulRsqrt(BAdd(UAbs(V0),TMulAdd(V1,V1,V2)),BAdd(BMulRsqrt(V0,V0),USqrt(C0.22914362)))),V0)
bwd0006|160|48|112|BSub(UNeg(UNeg(BAdd(BMul(USqrt(BAdd(BMul(UNeg(UNeg(BMul(UNeg(UNeg(UNeg(UNeg(C-1.4810048)))),C1))),USqrt(C-1.710571)),UNeg(V3))),BMul(BAdd(UNeg(UNeg(BMul(BMin(BAdd(BMul(BMul(V2,UNeg(UNeg(BAdd(C1,UNeg(BAdd(UNeg(BMul(BMul(C0,C1),C1)),C0)))))),UNeg(UNeg(UNeg(UNeg(V1))))),BAdd(V3,C0)),BMax(C-0.73162127,V2)),BMul(BMul(BAdd(USqrt(V1),C0),UNeg(UNeg(URsqrt(UNeg(V1))))),C1)))),C0),C1)),BAdd(BMul(V2,BMul(BAdd(BMul(V2,BAdd(V0,C0)),BMul(BAdd(V3,C0),C1)),UNeg(UNeg(URsqrt(BMul(BAdd(BAdd(UAbs(V0),C0),BAdd(C0,C0)),C1)))))),BMul(BMul(V0,BAdd(URsqrt(BMul(C-0.7299528,UNeg(UNeg(BAdd(BMul(BMul(C1,UNeg(UNeg(BAdd(C1,C0)))),C1),C0))))),BMul(C0,C1))),BAdd(BMul(URsqrt(UNeg(UNeg(V3))),C1),C0)))))),BMul(BMin(V3,BMul(BAdd(BMul(BAdd(BAdd(BMul(BMul(UNeg(UNeg(BMul(V3,C1))),URsqrt(V2)),UNeg(BAdd(UNeg(C1.7566929),C0))),UAbs(BMul(C-1.9379349,C1))),C0),URsqrt(V2)),C0),C1)),C1))|BSub(TMulAdd(USqrt(TMulAdd(C-1.4810048,USqrt(C-1.710571),UNeg(V3))),BMul(BMin(TMulAdd(V2,V1,V3),BMax(C-0.73162127,V2)),BMulRsqrt(USqrt(V1),UNeg(V1))),TMulAdd(V2,BMulRsqrt(TMulAdd(V2,V0,V3),UAbs(V0)),BMulRsqrt(BMulRsqrt(V0,C-0.7299528),V3))),BMin(V3,BMulRsqrt(TMulAdd(BMulRsqrt(V3,V2),C1.7566929,UAbs(C-1.9379349)),V2)))
bwd0007|18|7|11|UNeg(UNeg(BMul(BSub(BMulRsqrt(V1,UNeg(BAdd(UNeg(V3),C0))),BMul(V2,UNeg(UNeg(C1)))),URsqrt(V0))))|BMulRsqrt(BSub(BMulRsqrt(V1,V3),V2),V0)
bwd0008|163|51|112|BMin(BAdd(UNeg(BMul(UNeg(BMul(UNeg(UNeg(UNeg(UNeg(C-0.8685391)))),V0)),C1)),BAdd(BMul(BMul(UNeg(UNeg(UNeg(UNeg(BAdd(BMul(V1,URsqrt(C0.5219705)),C-1.9756441))))),UNeg(UNeg(C1))),BAdd(BMul(BAdd(BMul(V3,BMul(UNeg(UNeg(BAdd(C-0.9451488,BMul(UNeg(UNeg(C0)),C1)))),UNeg(UNeg(C1)))),UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(V2))))))))),UNeg(UNeg(UNeg(UNeg(C0.8513391))))),V2)),BMul(V1,UNeg(UNeg(BMin(UNeg(UNeg(BAdd(V2,UNeg(UNeg(C0))))),BMul(V2,C1))))))),BAdd(BMul(BMul(BAdd(BMul(C-1.6173452,URsqrt(BMul(BMul(BAdd(BMin(C-0.25825536,V3),C0),C1),UNeg(UNeg(BMul(C1,C1)))))),C0),URsqrt(BAdd(BMul(BMul(BMul(BMul(C0.8919103,C1),C1),BAdd(URsqrt(V3),C0)),BAdd(BMul(BMul(V3,BAdd(V0,BMul(BAdd(C0,C0),UNeg(UNeg(C1))))),C1),V1)),BMin(BMul(V3,C1),UNeg(UNeg(V0)))))),BAdd(UNeg(BMul(BAdd(UNeg(BAdd(UNeg(V3),UNeg(UNeg(C0)))),V1),URsqrt(BMax(BMul(C1.0628517,C1),V2)))),C0)),BAdd(UNeg(BAdd(UNeg(UNeg(UAbs(BMul(C-1.588601,C1)))),C0)),C0)))|BMin(TMulAdd(C-0.8685391,V0,TMulAdd(BAdd(BMulRsqrt(V1,C0.5219705),C-1.9756441),TMulAdd(TMulAdd(V3,C-0.9451488,V2),C0.8513391,V2),BMul(V1,BMin(V2,V2)))),TMulAdd(BMulRsqrt(BMulRsqrt(C-1.6173452,BMin(C-0.25825536,V3)),TMulAdd(BMulRsqrt(C0.8919103,V3),TMulAdd(V3,V0,V1),BMin(V3,V0))),UNeg(BMulRsqrt(BAdd(V3,V1),BMax(C1.0628517,V2))),UNeg(UAbs(C-1.588601))))
bwd0009|80|27|53|UNeg(UNeg(BMul(UNeg(BAdd(BMul(BSub(USqrt(UAbs(V3)),BMul(C-1.9492112,URsqrt(BAdd(UNeg(UNeg(BMax(UNeg(UNeg(UNeg(UNeg(UNeg(UNeg(C-0.012842774)))))),V2))),BAdd(UNeg(UNeg(C0)),C0))))),UNeg(UNeg(UNeg(BMul(BMul(UNeg(UNeg(BAdd(BMul(UNeg(UNeg(BMul(BMul(C-1.4545867,UNeg(UNeg(C1))),V1))),C1),V3))),BAdd(URsqrt(V1),C0)),C1))))),USqrt(BMul(BMul(V1,URsqrt(C-0.28742838)),UNeg(UNeg(BMul(BAdd(UNeg(UNeg(URsqrt(BAdd(BMul(V0,C0.09066582),BAdd(V2,C0))))),C0),UNeg(UNeg(C1))))))))),C1)))|UNeg(TMulAdd(BSub(USqrt(UAbs(V3)),BMulRsqrt(C-1.9492112,BMax(C-0.012842774,V2))),UNeg(BMulRsqrt(TMulAdd(C-1.4545867,V1,V3),V1)),USqrt(BMulRsqrt(BMulRsqrt(V1,C-0.28742838),TMulAdd(V0,C0.09066582,V2)))))
