# E-Graph Variants - Generated Training Data
# Format: name|seed_idx|variant_idx|node_count|depth|cost|features...
#
eg0000v0|0|0|9|5|17|45056,49408,25088,35329,27394,47875,27654,27655,25090,24833,40960,16640,26881,18946,39427,19206,19207,16642,0,22528,14592,35073,14850,14851,30720,10240,55552,55553,30720,30720,0,0
eg0000v1|0|1|9|5|17|45056,24832,49409,25092,35333,27402,47883,27670,27671,25094,0,40960,16640,26881,18946,39427,19206,19207,16642,0,22528,14592,35073,14850,14851,30720,10240,55552,55553,30720,30720,0
eg0001v0|1|0|11|6|45|18432,24832,23040,21248,23552,5376,10753,23298,19460,5384,4867,45056,43264,41472,43776,25600,30977,43522,39684,25608,25091,14336,12544,14848,62208,49152,51456,33280,14336,61696,0,26624,39168,35328,21248,20737,14336,10496,61952,18432,4352,0,0
eg0002v0|2|0|16|6|29|26624,41216,39424,29440,25600,21760,23809,31745,23810,21763,43521,33538,21508,39683,39942,21772,20737,45056,43264,33280,29440,25600,27649,35585,27650,25603,47361,37378,25348,43523,43782,25612,14336,4352,512,62208,64257,6657,64258,62211,57344,53504,49664,51713,59649,51714,49667,61440,57600,59649,0,30720,22528,14592,12545,30720,0,10240,256,53760,6401,6658,54020,53248,41216,0,14336,14592,61952,14336,61696,0,0
eg0002v1|2|1|17|6|30|61440,12544,10752,768,62464,58624,60673,3073,60674,58627,14849,4866,58372,11011,11270,58636,4353,57858,45056,43264,33280,29440,25600,27649,35585,27650,25603,47361,37378,25348,43523,43782,25612,14336,4352,512,62208,64257,6657,64258,62211,57344,53504,49664,51713,59649,51714,49667,61440,57600,59649,0,30720,22528,14592,12545,30720,0,10240,256,53760,6401,6658,54020,53248,41216,0,14336,14592,61952,14336,61696,0,53248,41216,0
eg0002v2|2|2|17|6|30|61440,4352,57856,12545,10754,772,62472,58640,60689,3081,60690,58643,14851,4870,58380,11015,11278,58652,53248,41216,0,45056,43264,33280,29440,25600,27649,35585,27650,25603,47361,37378,25348,43523,43782,25612,14336,4352,512,62208,64257,6657,64258,62211,57344,53504,49664,51713,59649,51714,49667,61440,57600,59649,0,30720,22528,14592,12545,30720,0,10240,256,53760,6401,6658,54020,53248,41216,0,14336,14592,61952,14336,61696,0
eg0003v0|3|0|4|3|30|22528,26880,12800,12545,18432,4352,0,0
eg0003v1|3|1|5|3|24|57344,63744,49664,59649,51714,49667,18432,4352,0,22528,14592,12545,30720,0
eg0003v2|3|2|5|3|24|57344,59648,51712,49665,63745,49666,22528,14592,12545,30720,0,18432,4352,0
eg0004v0|4|0|8|4|15|57344,8448,51712,59905,51970,51971,61954,49924,49409,40960,18688,26881,18946,18947,28930,16900,30720,22528,14592,14593,30720,30720,53248,41216,0,0
eg0004v1|4|1|8|4|15|57344,49408,8449,51716,59909,51978,51979,61958,49932,0,40960,18688,26881,18946,18947,28930,16900,30720,22528,14592,14593,30720,30720,53248,41216,0
eg0004v2|4|2|11|5|24|61440,256,57856,513,60162,2819,60422,60423,257,57858,4611,58118,57344,49408,57601,51714,59907,51974,51975,0,57344,51456,59649,51714,51715,30720,22528,14592,14593,30720,30720,57344,49408,61697,49666,0,53248,41216,0
eg0004v3|4|3|10|5|23|26624,28928,20992,29185,23298,31491,23558,23559,28929,20994,20995,57344,49408,57601,51714,59907,51974,51975,0,57344,51456,59649,51714,51715,30720,22528,14592,14593,30720,30720,57344,49408,49409,0,0
eg0004v4|4|4|11|5|24|61440,256,57856,4609,58114,257,57858,515,60166,2823,60430,60431,57344,49408,61697,49666,0,53248,41216,0,57344,49408,57601,51714,59907,51974,51975,0,57344,51456,59649,51714,51715,30720,22528,14592,14593,30720,30720
eg0005v0|5|0|10|6|18|57344,2304,4608,51968,56065,5122,50436,50437,50179,49409,14336,16640,64000,2561,17154,62468,62469,62211,45056,26880,30977,45570,25348,25349,25091,30720,26624,41216,20992,20993,20737,45056,24832,24833,0,0,0,0
eg0005v1|5|1|10|6|18|57344,49408,2305,4610,51972,56069,5130,50452,50453,50187,0,14336,16640,64000,2561,17154,62468,62469,62211,45056,26880,30977,45570,25348,25349,25091,30720,26624,41216,20992,20993,20737,45056,24832,24833,0,0,0
eg0007v0|7|0|16|6|41|22528,33024,31232,33536,19456,13568,15617,15361,18945,15106,21251,13318,35847,13582,13583,12545,45056,43264,45568,31488,25600,27649,27393,30977,27138,33283,25350,47879,25614,25615,14336,16640,2560,62208,64257,64001,45056,30976,25088,27137,26881,26624,20736,22785,0,30720,30720,26624,22784,28929,20994,43523,21254,21255,30720,57344,49408,6401,49666,49667,0,10240,53504,53505,0,0,0
eg0007v1|7|1|17|6|35|57344,4352,2560,4864,56320,50432,52481,52225,55809,51970,58115,50182,7175,50446,50447,59649,51714,49667,45056,43264,45568,31488,25600,27649,27393,30977,27138,33283,25350,47879,25614,25615,14336,16640,2560,62208,64257,64001,45056,30976,25088,27137,26881,26624,20736,22785,0,30720,30720,26624,22784,28929,20994,43523,21254,21255,30720,57344,49408,6401,49666,49667,0,10240,53504,53505,0,0,22528,14592,12545,30720,0
eg0007v2|7|2|17|6|35|57344,59648,51712,49665,4353,2562,4868,56328,50448,52497,52233,55811,51974,58119,50190,7183,50462,50463,22528,14592,12545,30720,0,45056,43264,45568,31488,25600,27649,27393,30977,27138,33283,25350,47879,25614,25615,14336,16640,2560,62208,64257,64001,45056,30976,25088,27137,26881,26624,20736,22785,0,30720,30720,26624,22784,28929,20994,43523,21254,21255,30720,57344,49408,6401,49666,49667,0,10240,53504,53505,0,0
eg0008v0|8|0|9|5|18|61440,14592,57856,57857,10497,8706,772,60424,60425,10240,53504,53505,0,0,14336,12544,4608,64256,64257,49152,41216,35328,35329,57344,51456,51457,30720,30720
eg0008v1|8|1|9|5|18|61440,10496,8704,768,60416,60417,14593,57858,57859,14336,12544,4608,64256,64257,49152,41216,35328,35329,57344,51456,51457,30720,30720,10240,53504,53505,0,0
